experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
X21,X21.823314ed0676126bc658df08ced4e0d5,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_043,test,12,4,X21.CMN.CMN_M_043.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_043,dirty,,the stools were very dirty,,1,0
X21,X21.29e3173a48c934207b391d026a4a3edb,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,14,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,his shoes were very dirty,,1,0
X21,X21.29e3173a48c934207b391d026a4a3edb,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,14,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,his shoes were very dirty,,1,0
X21,X21.29e3173a48c934207b391d026a4a3edb,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,14,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,his shoes were very dirty,,1,0
X21,X21.29e3173a48c934207b391d026a4a3edb,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,14,4,X21.CMN.CMN_M_043.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_043,dirty,,his shoes were very dirty,,1,0
X21,X21.5e0f9593449b9bd0d7d90f17ef58f707,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_035,test,3,1,X21.CMN.CMN_M_035.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_035,shoes,,the shoes were very dirty,,1,0
X21,X21.5e0f9593449b9bd0d7d90f17ef58f707,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_035,test,3,2,X21.CMN.CMN_M_035.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_035,were,,the shoes were very dirty,,1,0
X21,X21.5e0f9593449b9bd0d7d90f17ef58f707,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_035,test,3,3,X21.CMN.CMN_M_035.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_035,very,,the shoes were very dirty,,1,0
X21,X21.5e0f9593449b9bd0d7d90f17ef58f707,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_035,test,3,4,X21.CMN.CMN_M_035.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_035,dirty,,the shoes were very dirty,,1,0
X21,X21.4b706490aba187bd10cca9e65a91cfd9,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037",X21.CMN.CMN_M_043,test,6,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,the shoes were very dirty,,1,0
X21,X21.4b706490aba187bd10cca9e65a91cfd9,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037",X21.CMN.CMN_M_043,test,6,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,the shoes were very dirty,,1,0
X21,X21.4b706490aba187bd10cca9e65a91cfd9,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037",X21.CMN.CMN_M_043,test,6,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,the shoes were very dirty,,1,0
X21,X21.4b706490aba187bd10cca9e65a91cfd9,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037",X21.CMN.CMN_M_043,test,6,4,X21.CMN.CMN_M_043.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_043,dirty,,the shoes were very dirty,,1,0
