dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm5,138,14.4058709553258,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm5,AN19.ENG.ef1,138,14.4058709553258,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm6,138,16.96328189232197,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm6,AN19.ENG.ef1,138,16.96328189232197,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm7,138,17.255478114954105,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm7,AN19.ENG.ef1,138,17.255478114954105,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.ENG.ef3,138,12.497470376027184,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.ef2,138,12.497470376027184,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.ENG.em1,138,15.146817666004129,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em1,AN19.ENG.ef2,138,15.146817666004129,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.ENG.em2,138,13.00164620628714,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em2,AN19.ENG.ef2,138,13.00164620628714,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.ENG.em3,138,16.202562795614053,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em3,AN19.ENG.ef2,138,16.202562795614053,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf1,138,18.864666821911108,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf1,AN19.ENG.ef2,138,18.864666821911108,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf2,138,16.401760758735044,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf2,AN19.ENG.ef2,138,16.401760758735044,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf3,138,18.156261454232254,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf3,AN19.ENG.ef2,138,18.156261454232254,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf4,138,15.211704277670869,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf4,AN19.ENG.ef2,138,15.211704277670869,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf5,138,16.104280976337193,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf5,AN19.ENG.ef2,138,16.104280976337193,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.kf6,138,16.71829815008783,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf6,AN19.ENG.ef2,138,16.71829815008783,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km1,138,19.10170698134382,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km1,AN19.ENG.ef2,138,19.10170698134382,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km2,138,14.908322056292596,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km2,AN19.ENG.ef2,138,14.908322056292596,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km3,138,16.826051648812893,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km3,AN19.ENG.ef2,138,16.826051648812893,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km6,138,17.951651616880785,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km6,AN19.ENG.ef2,138,17.951651616880785,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km7,138,15.122132511210824,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km7,AN19.ENG.ef2,138,15.122132511210824,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.KOR.km8,138,14.190580459500303,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km8,AN19.ENG.ef2,138,14.190580459500303,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if1,138,16.220135225741775,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if1,AN19.ENG.ef2,138,16.220135225741775,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if2,138,16.62092509632638,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if2,AN19.ENG.ef2,138,16.62092509632638,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if3,138,17.969924245378255,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if3,AN19.ENG.ef2,138,17.969924245378255,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if4,138,15.3515398706574,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if4,AN19.ENG.ef2,138,15.3515398706574,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if5,138,23.26773003586967,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if5,AN19.ENG.ef2,138,23.26773003586967,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.if6,138,14.229560947753685,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if6,AN19.ENG.ef2,138,14.229560947753685,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im1,138,18.69310389209789,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im1,AN19.ENG.ef2,138,18.69310389209789,138 globally common words,2.0,mean_sequence_length
