dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials
B23,ft,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,486.551074844887,67.3277374922788,2.90482013631747,3.93668309777956,0.105848021037775,0.0364387521672723,0.0036746419913773,0.215794082811905,0.0548162189975672,8.26155904926162e-05,-0.0811461831806401,-0.0818330924624631,0.0084650843070941,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,104.676133105731,12.7511289523472,4.12340683904183,-2.54295870537546,0.155452873894004,0.0377001057528748,3.73309484818141e-05,-0.130327431242577,0.0512503136472812,0.0109918218776076,-0.0825279080779315,-0.0819863433807991,-0.0065622007118005,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_phoneme,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,104.676133105731,12.7511289523472,4.36546328467984,-2.80962214971439,0.163364864692387,0.0374221139977742,1.26853608986128e-05,-0.145467565747787,0.0517747789547339,0.0049599693419028,-0.0818794015239393,-0.0865903497518029,0.0575352059270524,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_phoneme,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,104.676133105731,12.7511289523472,-3.77385263746845,8.66190149123385,-0.137459559586101,0.0364241990324008,0.0001607457335765,0.480989829988754,0.0555293581294514,4.6395921234710294e-18,-0.0809854077109475,-0.0785458594460908,-0.0301233065784388,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_sentence,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,457.493434472337,62.9497260121895,6.16014648964262,-0.797618482106119,0.232871957008944,0.0378029901400045,7.267768246365901e-10,-0.0407400507826521,0.0510771148069158,0.425091922347053,-0.0819404734522695,-0.0823086404948639,0.0044931036773768,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_sentence,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,457.493434472337,62.9497260121895,2.24392875080804,4.59266423534436,0.0835711643044187,0.0372432343381334,0.0248369859491956,0.239424353873623,0.0521319089758519,4.37622860579655e-06,-0.0822663007940318,-0.0858546750582194,0.0436190059544768,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_sentence,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,457.493434472337,62.9497260121895,2.66052324004087,4.13726707358679,0.0969444298684584,0.0364381067639045,0.0078019342838573,0.227596374329388,0.0550112840871242,3.51466937207212e-05,-0.0811838658329877,-0.081742250967006,0.0068780308536544,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,330.848210422215,40.112562085217,5.62506554585095,-2.59925754235174,0.215775852529819,0.0383597045707272,1.85437549053585e-08,-0.132336804208652,0.0509133096864718,0.0093425650844579,-0.0821143646745438,-0.0819719581252252,-0.0017342464973461,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,330.848210422215,40.112562085217,2.7763988005173,1.30537634766714,0.104887594086334,0.0377782882152201,0.0054964743149714,0.0676004591751283,0.0517861835752869,0.191764728222937,-0.0821918683930985,-0.0869324760928063,0.0576773322275003,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,330.848210422215,40.112562085217,-0.926782688781095,6.70470744207045,-0.0336205381486443,0.036276614308433,0.354039374789868,0.384809290010096,0.0573938972482989,2.0181027705019e-11,-0.0813562735125192,-0.0801611336807354,-0.014690198803168,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,80.9977138510501,10.3060897642512,5.34847655195847,7.46795635668805,0.204790170921548,0.0382894397931986,8.86976646234751e-08,0.398849715472335,0.0534081476139237,8.144984648383699e-14,-0.0821936924217543,-0.0791637896524591,-0.0368629596751555,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_phoneme,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,80.9977138510501,10.3060897642512,5.92335859508702,6.69417809503279,0.225533812469179,0.0380753264974102,3.1543197117685304e-09,0.360115297053807,0.0537952967401658,2.1688714871390698e-11,-0.0814183913036199,-0.0844782637295303,0.0375820791459726,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_phoneme,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,80.9977138510501,10.3060897642512,9.99070920991842,0.714290771772084,0.378683933474685,0.0379036087947331,1.67379864633209e-23,0.0390304244664853,0.054642207359973,0.475047397365647,-0.0785305845440094,-0.0826638369468694,0.052632390639392,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,21.7291319302787,3.61219744911623,5.95214284331448,3.66325809252393,0.221156673651576,0.0371558074920836,2.64654225340013e-09,0.187869616635444,0.0512848431342725,0.0002490273951581,-0.0820145425409086,-0.0816015095742325,-0.0050360942569435,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,21.7291319302787,3.61219744911623,3.04405301315983,7.67966559844261,0.111925496924757,0.0367685767760579,0.0023341400499077,0.401115186631986,0.0522308141533311,1.59504404976275e-14,-0.0821493332161575,-0.0837390909774954,0.019352047047719,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,21.7291319302787,3.61219744911623,7.99058875562064,0.773561632631073,0.292202982595728,0.0365683920837736,1.34295840403903e-15,0.0411785155005585,0.0532323654167027,0.439190068407432,-0.0796040390998106,-0.0826590546719869,0.0383776452391547,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_6,between_type_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,249.38138385998,36.9450427738132,4.64826473281503,-1.34188721985764,0.172310045072726,0.0370697572055828,3.34739127711402e-06,-0.0685823215704173,0.0511088566576356,0.179632566183393,-0.082398548056248,-0.0822444045563012,-0.001870706506158,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_6,between_type_phoneme,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,249.38138385998,36.9450427738132,-0.0779151181115545,5.21376132431492,-0.0028562424479371,0.0366583856530612,0.937895573456379,0.270974581426168,0.0519729547577197,1.85049533335494e-07,-0.0824055714482734,-0.0855188255759328,0.0377796558284128,480,240,18032,9016
