interval_id,recording_id,speaker_id,comparison_word,canonical_sequence,canonical_position,canonical_phone,audio_sha256
AN19-rec-0742a2131f0ce44c5ce4:phone:2,AN19-rec-0742a2131f0ce44c5ce4,AN19.ENG.ef1,mole,m ow l,1,ow,cfc0265010e0d2813cf14e5f1d334d1e0f261d2de0cfe7f0144c7ae9bb4ebbc7
AN19-rec-079475af7708602ac125:phone:2,AN19-rec-079475af7708602ac125,AN19.ENG.ef3,mace,m ey s,1,ey,db116a2cc25156eb4d50075da009efedc7859dfb56eecc3943f65b848c4052f2
AN19-rec-079475af7708602ac125:phone:3,AN19-rec-079475af7708602ac125,AN19.ENG.ef3,mace,m ey s,2,s,db116a2cc25156eb4d50075da009efedc7859dfb56eecc3943f65b848c4052f2
AN19-rec-0804014f20d4edf71a74:phone:2,AN19-rec-0804014f20d4edf71a74,AN19.ENG.ef2,mole,m ow l,1,ow,0699f8790716ecfcd04c4f05584aa0cd5ff7274db35312539784c56c722ce005
AN19-rec-08576b2945cc11e2aa6a:phone:1,AN19-rec-08576b2945cc11e2aa6a,AN19.ENG.ef2,chore,ch ao r,0,ch,c2c76b4fc02c618e4fe62d35cc88ad592e6d34b9d16d239e9683bf6e6d7543c8
AN19-rec-08576b2945cc11e2aa6a:phone:2,AN19-rec-08576b2945cc11e2aa6a,AN19.ENG.ef2,chore,ch ao r,1,ao,c2c76b4fc02c618e4fe62d35cc88ad592e6d34b9d16d239e9683bf6e6d7543c8
AN19-rec-08576b2945cc11e2aa6a:phone:3,AN19-rec-08576b2945cc11e2aa6a,AN19.ENG.ef2,chore,ch ao r,2,r,c2c76b4fc02c618e4fe62d35cc88ad592e6d34b9d16d239e9683bf6e6d7543c8
AN19-rec-098b745bac88b32858ee:phone:1,AN19-rec-098b745bac88b32858ee,AN19.ENG.em1,pad,p ae d,0,p,50fe114b6b1d3f18a3fe9054617aff0cfef7b8331e0e1dc880dd2a9f5bc9415e
AN19-rec-098b745bac88b32858ee:phone:3,AN19-rec-098b745bac88b32858ee,AN19.ENG.em1,pad,p ae d,2,d,50fe114b6b1d3f18a3fe9054617aff0cfef7b8331e0e1dc880dd2a9f5bc9415e
AN19-rec-0a1176341ab62628ad1c:phone:2,AN19-rec-0a1176341ab62628ad1c,AN19.ENG.em3,caught,k aa t,1,aa,85349745030d9d7145db243c1064bdc6370f35aeb6e5793e824fa282b69cda18
AN19-rec-0a1176341ab62628ad1c:phone:3,AN19-rec-0a1176341ab62628ad1c,AN19.ENG.em3,caught,k aa t,2,t,85349745030d9d7145db243c1064bdc6370f35aeb6e5793e824fa282b69cda18
AN19-rec-0a243f22f9cde94de798:phone:1,AN19-rec-0a243f22f9cde94de798,AN19.ENG.ef2,five,f ay v,0,f,2b49b7f288fc91de0f7cad2678ad5dcc6f0a9719f1caf8eabd1b518cc6f9e0df
AN19-rec-0a243f22f9cde94de798:phone:2,AN19-rec-0a243f22f9cde94de798,AN19.ENG.ef2,five,f ay v,1,ay,2b49b7f288fc91de0f7cad2678ad5dcc6f0a9719f1caf8eabd1b518cc6f9e0df
AN19-rec-0a243f22f9cde94de798:phone:3,AN19-rec-0a243f22f9cde94de798,AN19.ENG.ef2,five,f ay v,2,v,2b49b7f288fc91de0f7cad2678ad5dcc6f0a9719f1caf8eabd1b518cc6f9e0df
AN19-rec-0a375ec0b57e274b87bf:phone:1,AN19-rec-0a375ec0b57e274b87bf,AN19.ENG.em2,fin,f ih n,0,f,f9a6b1e7f9b2027fec423c7b27fe876455ef07d00693e8953707a754b1bf8ce4
AN19-rec-0a375ec0b57e274b87bf:phone:2,AN19-rec-0a375ec0b57e274b87bf,AN19.ENG.em2,fin,f ih n,1,ih,f9a6b1e7f9b2027fec423c7b27fe876455ef07d00693e8953707a754b1bf8ce4
