dataset_id,feature_key,condition_id,comparison,gain,ci_low,ci_high
AN19,strf_rate_8,AN19.Mixed.test_Korean,predictor_only,0.020318137259114855,0.013320993696788496,0.027324136550951308
AN19,strf_rate_8,AN19.Mixed.test_Korean,predictor_beyond_condition,0.02433457987607344,0.017116854056904454,0.03142129773415455
AN19,strf_rate_8,AN19.Mixed.test_Spanish,predictor_only,0.028405415921184753,0.02076257349881444,0.03560676489760151
AN19,strf_rate_8,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.022676416307154064,0.01639910415751418,0.02876848796169495
AN19,strf_rate_8,AN19.Spanish.test_Korean,predictor_only,0.022483112159095566,0.016480930509059258,0.028598271539662115
AN19,strf_rate_8,AN19.Spanish.test_Korean,predictor_beyond_condition,0.02423211412665056,0.018570554850952874,0.03061792553414241
AN19,strf_rate_8,AN19.Spanish.test_Spanish,predictor_only,0.026434798269782792,0.02245650678572291,0.030547391403827874
AN19,strf_rate_8,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.027214445206115923,0.02319516369342452,0.03124138286312725
AN19,strf_scale_0p25,AN19.Korean.test_Korean,predictor_only,0.016193612700982653,0.012036477098904534,0.020694060013335416
AN19,strf_scale_0p25,AN19.Korean.test_Korean,predictor_beyond_condition,0.015479903448507113,0.011323202196349932,0.019586225663679884
AN19,strf_scale_0p25,AN19.Korean.test_Spanish,predictor_only,0.04084343971277031,0.03334666109132618,0.04903665423445399
AN19,strf_scale_0p25,AN19.Korean.test_Spanish,predictor_beyond_condition,0.0428255968272111,0.03900631323226126,0.046746492384113936
AN19,strf_scale_0p25,AN19.Mixed.test_Korean,predictor_only,0.013834928781877672,0.00816188731370265,0.019368669070658016
AN19,strf_scale_0p25,AN19.Mixed.test_Korean,predictor_beyond_condition,0.017398175374617214,0.010833041105588899,0.02301614175369703
AN19,strf_scale_0p25,AN19.Mixed.test_Spanish,predictor_only,0.049413648215146315,0.04023911412965485,0.05825840190615852
AN19,strf_scale_0p25,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.03598967577372842,0.029246934807473493,0.042636753281574326
AN19,strf_scale_0p25,AN19.Spanish.test_Korean,predictor_only,0.0057492337399736105,-0.00045903107294301083,0.010938499827648543
AN19,strf_scale_0p25,AN19.Spanish.test_Korean,predictor_beyond_condition,0.00735258333334288,0.0007599408329477663,0.01280557283994187
AN19,strf_scale_0p25,AN19.Spanish.test_Spanish,predictor_only,0.02716114614268458,0.02167588282369246,0.032427876175198066
AN19,strf_scale_0p25,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03589570137046174,0.0313431444924029,0.04017120681213687
AN19,strf_scale_0p5,AN19.Korean.test_Korean,predictor_only,0.012647788454766315,0.007870595270832639,0.016820285784170618
AN19,strf_scale_0p5,AN19.Korean.test_Korean,predictor_beyond_condition,0.014408009971161742,0.009424937217759909,0.018894040265116117
AN19,strf_scale_0p5,AN19.Korean.test_Spanish,predictor_only,0.021048719710038074,0.013095651118524102,0.028557059865136708
AN19,strf_scale_0p5,AN19.Korean.test_Spanish,predictor_beyond_condition,0.016518570745944254,0.010465288752103091,0.022640044839412385
AN19,strf_scale_0p5,AN19.Mixed.test_Korean,predictor_only,0.009685077425950183,0.007194871196229804,0.012162470463500477
AN19,strf_scale_0p5,AN19.Mixed.test_Korean,predictor_beyond_condition,0.011469007482745356,0.009155562522198254,0.014031494092344483
AN19,strf_scale_0p5,AN19.Mixed.test_Spanish,predictor_only,0.01609789131474282,0.007857765973745325,0.024404902693039552
AN19,strf_scale_0p5,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.013414502747090367,0.007082047211388059,0.01989928722874248
AN19,strf_scale_0p5,AN19.Spanish.test_Korean,predictor_only,0.005687680165734188,0.0010927992932194231,0.010298132867387053
AN19,strf_scale_0p5,AN19.Spanish.test_Korean,predictor_beyond_condition,0.007329091622085402,0.0020386824255787055,0.012517017218877645
AN19,strf_scale_0p5,AN19.Spanish.test_Spanish,predictor_only,0.01080096508177846,0.006549276858593755,0.015356729167017222
AN19,strf_scale_0p5,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.01427517295341021,0.010230179322141127,0.018269647047014326
AN19,strf_scale_1p0,AN19.Korean.test_Korean,predictor_only,0.006982702104748455,0.0009856812142963543,0.011386976225745858
AN19,strf_scale_1p0,AN19.Korean.test_Korean,predictor_beyond_condition,0.007140035620192669,0.002233921079308783,0.011127312543575888
AN19,strf_scale_1p0,AN19.Korean.test_Spanish,predictor_only,0.01157227436442284,0.007259986229365915,0.015019717234135654
AN19,strf_scale_1p0,AN19.Korean.test_Spanish,predictor_beyond_condition,0.006467766091791098,0.0026326884723294175,0.009525879990130876
AN19,strf_scale_1p0,AN19.Mixed.test_Korean,predictor_only,0.0028679147098948136,-0.0003455559358236872,0.00634052733525794
AN19,strf_scale_1p0,AN19.Mixed.test_Korean,predictor_beyond_condition,0.0033633102658404443,0.0004283524927421245,0.006415396599905093
