dataset_id,family,variant,method,feature_key,full_z,full_estimate,full_conf_low,full_conf_high,mean_cv_train_z,cv_train_z_ci_low,cv_train_z_ci_high,predictor_oof_total_log_loss
X21,HVE,base,base,tr_24::within_token_word,-0.475955415387597,-0.0313734634024741,-0.160570413958805,0.0978234871538568,-0.43954534581061827,-1.67159943949956,0.762252121561692,8157.66783592807
X21,HVE,base,base,tr_24::within_type_phoneme,-0.278025971278465,-0.0247195985969586,-0.198985380413119,0.149546183219202,-0.35593003851453936,-0.545381314661286,-0.235584778060268,8137.37850431709
X21,HVE,base,base,tr_24::within_type_sentence,-2.22731156357322,-0.138142435399901,-0.259705658889584,-0.0165792119102185,-1.8215662344583503,-2.25673847945652,-1.37769375651637,8127.40251714297
X21,HVE,base,base,tr_24::within_type_word,-3.28681724409465,-0.200127849347467,-0.319468401495836,-0.0807872971990983,-2.6904775525176805,-3.24573431380477,-2.36864045498088,8103.68218026529
X21,HVE,ft,ft,tr_24::between_type_phoneme,-0.714458308388193,-0.0512255549065694,-0.191754521311036,0.0893034114978968,-0.68108363641674,-1.02042839897131,-0.454759668229142,8135.19790937395
X21,HVE,ft,ft,tr_24::between_type_sentence,2.78465414821708,0.200719556936592,0.0594415702797546,0.34199754359343,2.3402165463595463,1.89961740106523,2.87686695012013,8111.07909919736
X21,HVE,ft,ft,tr_24::between_type_word,-1.17814325121079,-0.0768114782823651,-0.2045977192838,0.0509747627190693,-1.0192501639567475,-1.52969153512728,-0.418062621563003,8130.58748865437
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,-3.42423836029907,-0.216194631183445,-0.339942289066275,-0.092446973300615,-2.8682692027565433,-3.70362382224479,-2.19079549653119,8103.66769528432
X21,HVE,ft,ft,tr_24::mean_dissimilarity_sentence,-1.96590101222678,-0.121190940394242,-0.242018103967274,-0.0003637768212098,-1.6251489287014167,-1.95105763271813,-1.15137136564887,8129.84218117505
X21,HVE,ft,ft,tr_24::mean_dissimilarity_word,-2.58778362208926,-0.158538624750555,-0.278616556250954,-0.0384606932501566,-2.13246840651221,-2.54483512782706,-1.7785352556712801,8117.70947370503
X21,HVE,ft,ft,tr_24::order_phoneme,-0.707677736974984,-0.0574224766270513,-0.216461045043962,0.101616091789859,-0.7015649044323232,-1.34618106558894,0.0555634458450723,8133.14972211668
X21,HVE,ft,ft,tr_24::order_sentence,-1.92855566447091,-0.147309888337705,-0.29702160600343,0.0024018293280189,-1.690945831886772,-2.58479498498168,-0.685369304047247,8122.85425592223
X21,HVE,ft,ft,tr_24::order_word,-1.82445598804373,-0.145273263117231,-0.301339289141285,0.0107927629068222,-1.6128936548594632,-2.62456615606045,-0.71119346883223,8125.43073869971
X21,HVE,ft,ft,tr_24::overall,-2.71916352266566,-0.241042190491956,-0.414787788881378,-0.0672965921025344,-2.29008730584631,-2.84475851793932,-1.9317206498121802,8110.87834394248
X21,HVE,ft,ft,tr_24::overall_order_sensitive,-2.23074525753645,-0.173374378907216,-0.325706332325071,-0.0210424254893607,-1.9249811646729267,-2.8390009166785597,-0.93737713845971,8118.07272762684
X21,HVE,ft,ft,tr_24::within_token_phoneme,0.219085474131384,0.0215255539634576,-0.171048079389687,0.214099187316602,-0.037107424734330395,-0.434917803797546,0.22443762349764604,8148.1951036817
