dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,measure
X21,HVE,ft,ft,tr_24::between_type_word,predictor_only_percent_ceiling,0.3715869019299046,-0.7048900784858293,1.3878186690629495,16477,320,16477,79.88342397630605,115.07691975609953,between_type_word
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,1.521995705412164,-0.6084767630209599,3.6497411156716653,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_phoneme
X21,HVE,ft,ft,tr_24::mean_dissimilarity_sentence,predictor_only_percent_ceiling,0.40343737989311373,-0.6627862586159109,1.4465445209670975,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_sentence
X21,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,0.9219247728577585,-0.4652472163921532,2.392044227442727,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_word
X21,HVE,ft,ft,tr_24::order_phoneme,predictor_only_percent_ceiling,0.26209067025004545,-0.6321645497519366,1.1698933456983307,16477,320,16477,79.88342397630605,115.07691975609953,order_phoneme
X21,HVE,ft,ft,tr_24::order_sentence,predictor_only_percent_ceiling,0.702064141934747,-1.0926459031832243,2.6701027260841723,16477,320,16477,79.88342397630605,115.07691975609953,order_sentence
X21,HVE,ft,ft,tr_24::order_word,predictor_only_percent_ceiling,0.5919589703054524,-1.3849951352604344,2.692409290355343,16477,320,16477,79.88342397630605,115.07691975609953,order_word
X21,HVE,ft,ft,tr_24::overall,predictor_only_percent_ceiling,1.213850929516592,-1.4096622377440922,4.043373908684955,16477,320,16477,79.88342397630605,115.07691975609953,overall
X21,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.9064012321011283,-1.0629152371853237,3.146857754707646,16477,320,16477,79.88342397630605,115.07691975609953,overall_order_sensitive
X21,HVE,ft,ft,tr_24::within_token_phoneme,predictor_only_percent_ceiling,-0.38086892331825295,-0.7960150801599816,0.0005041870498368787,16477,320,16477,79.88342397630605,115.07691975609953,within_token_phoneme
X21,HVE,ft,ft,tr_24::within_token_sentence,predictor_only_percent_ceiling,1.1798247711248386,-1.4532923273490577,4.113798176992557,16477,320,16477,79.88342397630605,115.07691975609953,within_token_sentence
X21,HVE,ft,ft,tr_24::within_token_word,predictor_only_percent_ceiling,0.29486313540110504,-1.3265413042911092,1.9175328966129634,16477,320,16477,79.88342397630605,115.07691975609953,within_token_word
X21,HVE,ft,ft,tr_24::within_type_phoneme,predictor_only_percent_ceiling,2.3611317311344298,-0.9949251520237778,5.648587611109099,16477,320,16477,79.88342397630605,115.07691975609953,within_type_phoneme
X21,HVE,ft,ft,tr_24::within_type_sentence,predictor_only_percent_ceiling,0.11107262326989602,-0.7173358958785613,0.9417573804582051,16477,320,16477,79.88342397630605,115.07691975609953,within_type_sentence
X21,HVE,ft,ft,tr_24::within_type_word,predictor_only_percent_ceiling,0.2379958703176049,-0.584239225391858,1.1203743436211402,16477,320,16477,79.88342397630605,115.07691975609953,within_type_word
B23,HVE,base,base,tr_24::between_type_phoneme,predictor_only_percent_ceiling,-0.171350796245291,-4.477786286395048,4.145991343794675,10080,168,54096,96.16707054105137,102.19993902511295,between_type_phoneme
B23,HVE,base,base,tr_24::between_type_sentence,predictor_only_percent_ceiling,1.2989129509697306,-1.5290615749606078,4.327721362654902,10080,168,54096,96.16707054105137,102.19993902511295,between_type_sentence
B23,HVE,base,base,tr_24::between_type_word,predictor_only_percent_ceiling,1.6562698289635316,-1.500458890347413,4.84097139737055,10080,168,54096,96.16707054105137,102.19993902511295,between_type_word
B23,HVE,base,base,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,-0.5026741650707939,-1.9501636686955934,0.8771422072905336,10080,168,54096,96.16707054105137,102.19993902511295,mean_dissimilarity_phoneme
B23,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-1.5785875161737062,-3.427305468082444,-0.016680112204946005,10080,168,54096,96.16707054105137,102.19993902511295,mean_dissimilarity_word
B23,HVE,base,base,tr_24::order_phoneme,predictor_only_percent_ceiling,-0.667640507864932,-4.8215245026542695,3.5902943937335827,10080,168,54096,96.16707054105137,102.19993902511295,order_phoneme
B23,HVE,base,base,tr_24::order_sentence,predictor_only_percent_ceiling,-1.217123730564357,-5.669521580459271,2.844191027241868,10080,168,54096,96.16707054105137,102.19993902511295,order_sentence
B23,HVE,base,base,tr_24::order_word,predictor_only_percent_ceiling,-1.1529079493112648,-4.467582044763289,2.1204694143746554,10080,168,54096,96.16707054105137,102.19993902511295,order_word
B23,HVE,base,base,tr_24::overall,predictor_only_percent_ceiling,0.005352585233290685,-4.063856787907001,4.239499229938296,10080,168,54096,96.16707054105137,102.19993902511295,overall
B23,HVE,base,base,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,-0.801639212406238,-9.636265491905814,6.885542459649825,5820,97,31234,89.37261206053246,109.6311389165602,overall_order_sensitive
