talker_id,AN19.MIX.if1,AN19.MIX.if6,AN19.MIX.if2,AN19.MIX.if4,AN19.MIX.im2,AN19.MIX.im6,AN19.MIX.if5,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if3,AN19.MIX.im1,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.MIX.im4,AN19.MIX.im3,AN19.MIX.im5
AN19.MIX.im1,1.5592431052382077e-05,9.011347562924108e-05,6.331789338685593e-05,3.173534972876843e-05,0.0002055288481444,7.713953784752748e-05,4.062313168351738e-06,1.153018955362643e-05,2.022994789219803e-05,7.20291388481741e-05,1.1605309319130385e-05,4.553824389585723e-06,3.8192996695807365e-05,1.4096780522894144e-05,0.0001358744395132,6.653153066421945e-05,5.366708067622153e-05,5.2283996642947655e-05,0.0002103822684818,3.5472507364272464e-05,,1.4798096313572746e-05,2.1599690281347003e-05,0.0001068382676098,1.4036828949353996e-05,3.804430477455008e-05,7.113272160922133e-05,9.44721318147786e-05,0.0001185842086266,0.0001199405498033,0.0002093787536712,6.633904858251028e-05,9.23436603470452e-05,4.01618001046985e-05,0.0001746921138764,0.00010681126456
AN19.SPA.sf1,0.0001565493662721,0.0001427943297081,1.4869421440608734e-05,8.451325007094553e-05,3.728296015602728e-05,0.0001340481159766,3.5831362428596775e-07,2.856012273644034e-05,7.84256952236203e-05,0.0001707933022465,5.86713513211973e-05,3.2306588648225065e-05,0.0001461723989164,1.534151752477541e-05,1.733490985042564e-05,3.190837856435023e-05,0.0001064278701137,4.054916450368603e-05,0.0001166319940205,3.933492865792785e-05,1.4798096313572746e-05,,0.0001571207821563,0.0002879089183554,0.0002046644513131,6.732500589036686e-05,0.0003797233230987,0.0002113504133596,9.55375954954964e-05,3.777021675286352e-05,0.0004000683447126,6.531175643098828e-05,2.6411842751219672e-05,0.0001258376459003,4.527864691421264e-05,0.0001180278356996
AN19.SPA.sf2,0.0004396039479615,5.991689349849627e-05,6.362257670754352e-05,5.258843725660648e-05,3.0978307708648e-05,3.4504573034041307e-05,1.342751802405852e-07,3.791099405104499e-05,0.0001969319499287,0.0005527201562558,0.0001772874083811,1.7826115538369814e-05,4.94437306439829e-05,1.8976132874039976e-05,0.0001815269199534,5.804264239805661e-05,0.0001642642630121,0.0001025381871111,8.484107385901954e-05,3.26796124139379e-05,2.1599690281347003e-05,0.0001571207821563,,0.0001820334366893,6.611054155842358e-05,0.000146060841394,0.0001459969132914,0.0001535938598741,5.301421566687767e-05,6.728831783412566e-05,6.620037149678389e-05,7.430552567806737e-05,5.110583585018118e-05,1.4230358925983367e-05,5.906364022101464e-05,5.310597453492011e-06
AN19.SPA.sf3,0.0003799892129752,0.000211992832156,0.0008632020318129,0.000225673592115,8.631505281358714e-05,0.0001810945658592,1.8757696604268287e-06,7.75914359262417e-05,0.0001246927970186,0.0003457887133321,0.0001434583554539,0.0001388150441306,0.0007624490185813,4.512933257510605e-06,0.0003612967164597,0.0003111649456811,0.000245797939196,0.0002454164390027,0.0002518372861639,0.0001125480084729,0.0001068382676098,0.0002879089183554,0.0001820334366893,,0.0009137056626347,0.0003487566430371,0.0015842866931745,9.418584242674697e-05,0.0002128864433261,0.0003166803650198,0.0001957735174953,0.0002623386327874,2.186304311186928e-05,6.40556884565972e-05,0.0003721582055032,3.900652285016536e-05
AN19.SPA.sf4,0.0004149264916717,2.005015459952606e-05,0.0001775079933387,8.305398343740767e-05,0.0002127552215152,7.175711689750204e-05,1.550441409552636e-07,4.346939773818323e-05,5.174945416387024e-05,0.0003304373873789,0.0001257825460541,0.0002301976431325,0.000288409365737,1.9559414983185985e-05,2.967923402067068e-05,4.272847559034144e-05,0.0001462313956524,0.000136876892868,0.0001284380230097,3.197983786187488e-05,1.4036828949353996e-05,0.0002046644513131,6.611054155842358e-05,0.0009137056626347,,0.0002073544244752,0.0001443055446106,9.700423582691643e-05,6.12307671376249e-05,0.0004131245881906,5.6968266453958094e-05,0.0003566654017753,6.576429572827896e-05,1.894430354459772e-05,0.000310377290986,8.250473367907621e-05
AN19.SPA.sf5,0.0003017582766476,0.0001555738049481,0.0006526374868001,0.0012748101147799,0.0005465268348518,0.0003001624026643,5.611655396773245e-06,8.1648850424402e-05,0.000612920545716,0.0003706300184673,5.693320320041163e-05,0.0001175580542441,0.0001623065680287,0.0003826735451724,6.791606505563383e-05,0.0002348333664446,0.0001775905009259,0.0002534308539584,0.0001997198674922,0.0007468261903391,3.804430477455008e-05,6.732500589036686e-05,0.000146060841394,0.0003487566430371,0.0002073544244752,,0.0003262791890494,0.0013164408834537,9.199117689958831e-05,0.0019833959242304,0.0003989794051278,0.0003516356178818,0.000282568070039,6.130741654235908e-05,0.0005197079594383,3.327005623573052e-05
AN19.SPA.sf6,9.636380507939044e-05,0.0001294549002477,0.0005643040756442,0.000124364839221,1.4867668182434513e-05,5.522958616160958e-05,4.873554415372916e-07,0.0001872963398163,0.0009062534920291,4.127115324082903e-05,0.0001495169809227,7.957676097384334e-05,9.34320595731596e-05,4.569305418907492e-06,3.603466093323039e-05,1.985173106004321e-05,1.7500172997241514e-05,0.0003308941446254,0.000101994524479,3.663749293956902e-05,7.113272160922133e-05,0.0003797233230987,0.0001459969132914,0.0015842866931745,0.0001443055446106,0.0003262791890494,,6.098240539361744e-05,0.0001703696372367,0.0001350555515126,8.764238432462934e-05,6.58015689957952e-05,0.000214990206238,0.0003533941242258,4.179845752440614e-05,0.0002294079875662
AN19.SPA.sm2,6.650413073613324e-05,4.4839098899918056e-05,0.0001023432898908,0.0002978984893497,0.000544026004847,0.0007498677645663,3.876459232143166e-07,1.7094486565597803e-05,9.72150190315194e-05,0.0001222004541249,6.515193082254322e-05,2.271055981852842e-05,4.639521727789618e-05,5.924072737686532e-05,0.0002979981168683,9.997946082549476e-05,0.0003554508162454,0.0002399075572862,0.0002220246393586,3.8510285738998335e-05,9.44721318147786e-05,0.0002113504133596,0.0001535938598741,9.418584242674697e-05,9.700423582691643e-05,0.0013164408834537,6.098240539361744e-05,,0.0006604554264342,0.0009543499724004,0.0003108743334247,0.0001096804683165,0.0008075369943737,0.0002662512909866,0.0005049821940531,0.0003633221843225
AN19.SPA.sm3,0.0003087582813537,4.540290582203043e-05,0.0002032556958273,0.0002185485852085,0.0003964655678405,6.58635667474385e-05,7.803937417075862e-07,4.63262258142104e-05,3.456609981563804e-05,4.602351808684077e-05,7.584914856250289e-05,1.869095285435729e-05,9.336684354875704e-05,4.535856838162709e-06,0.0003912555157169,0.0001345213563751,9.317347048788517e-05,7.530367597150084e-05,1.118760317666993e-05,1.5144238478208151e-05,0.0001185842086266,9.55375954954964e-05,5.301421566687767e-05,0.0002128864433261,6.12307671376249e-05,9.199117689958831e-05,0.0001703696372367,0.0006604554264342,,0.0006122071137353,0.0002677391478387,0.0002082139255135,0.0001961579024421,3.169420865580602e-05,0.0002059600502147,0.0003960556268948
AN19.SPA.sm4,0.0002744679803043,0.0002525813653895,0.0001037152606918,0.0002812674503581,0.0005532807718219,0.0002103453354282,1.1024321975234367e-06,0.0002663496557575,9.030857813961548e-05,0.0003617712328171,4.892646339850426e-05,1.6742591418273716e-05,2.3134695758533065e-05,0.0001547207294796,0.0001344520708363,0.0003075206886746,0.0005992602692622,0.0004612520649558,0.0002670972150517,3.456536378973603e-05,0.0001199405498033,3.777021675286352e-05,6.728831783412566e-05,0.0003166803650198,0.0004131245881906,0.0019833959242304,0.0001350555515126,0.0009543499724004,0.0006122071137353,,0.0003856888123275,0.0002445553670693,0.0004834720191319,0.0001408296634078,0.0008146967333613,0.0006698941758453
AN19.SPA.sm5,4.861170444175683e-05,0.0004696739904121,0.0003346129739982,0.0001263448170081,0.0006502017036333,0.0004987054944187,2.072942227547804e-06,1.8403565913495644e-05,8.912444245403838e-05,0.0010727590896005,0.0001891439636114,2.6164903945726843e-05,0.0001207390166686,6.941705052333904e-05,0.0006775483795687,0.0014368551516536,0.0003726642406235,0.000949758585646,0.0002594234134643,5.186088862219326e-05,0.0002093787536712,0.0004000683447126,6.620037149678389e-05,0.0001957735174953,5.6968266453958094e-05,0.0003989794051278,8.764238432462934e-05,0.0003108743334247,0.0002677391478387,0.0003856888123275,,0.0001326243238992,0.000824779607434,0.0008841834729728,0.0002291963541332,0.0002388954854598
AN19.SPA.sm6,2.3091835475860346e-05,6.469024685671392e-05,0.0003730888270211,8.465676383914337e-05,0.0002609943203769,0.0002908375354275,1.6506000818604397e-06,0.000282984832988,9.363538264017028e-05,0.0001595932759906,0.0005239434730482,1.9025881127103607e-05,9.475502280677343e-05,2.7180686080551905e-05,0.0001189854654723,0.0003348840852071,0.0001440412062429,0.0002364246991311,1.978654886704651e-05,4.770068122172221e-05,6.633904858251028e-05,6.531175643098828e-05,7.430552567806737e-05,0.0002623386327874,0.0003566654017753,0.0003516356178818,6.58015689957952e-05,0.0001096804683165,0.0002082139255135,0.0002445553670693,0.0001326243238992,,8.162974904352146e-05,0.0001216110564774,0.000316798629295,0.000177279179859
