dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high
X21,HVE,base,base,tr_24::within_type_word,predictor_only_percent_ceiling,1.5213766943594895,-0.5127193035592165,3.6174683369185843,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,ft,ft,tr_24::between_type_phoneme,predictor_only,0.00024790837085538815,-0.0005501457248693018,0.0011381193664505077,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_phoneme,predictor_beyond_condition,-0.00012230857417568493,-0.0006092660773718716,0.00038621608903045954,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_phoneme,condition_beyond_predictor,0.006390568059358539,0.0007125248560302581,0.012308038586592419,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_phoneme,predictor_only_percent_ceiling,0.17456203956729194,-0.3999597900877462,0.782575827185453,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,ft,ft,tr_24::between_type_sentence,predictor_only,0.001711694871831815,-0.0008968496356895245,0.004236704825056232,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_sentence,predictor_beyond_condition,0.0003628294724598275,-0.0009082537071933818,0.001513961313893381,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_sentence,condition_beyond_predictor,0.005411919605017626,2.0809440044368637e-05,0.011087146510284572,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_sentence,predictor_only_percent_ceiling,1.2052717175820278,-0.6393832382780861,2.9293616695853304,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,ft,ft,tr_24::between_type_word,predictor_only,0.0005277178458557846,-0.0008787470007962086,0.0020101318385469754,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_word,predictor_beyond_condition,-4.5276006118943595e-06,-0.0002139985758095731,0.00018200801124808555,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_word,condition_beyond_predictor,0.0062285395579219326,0.0007079850636617553,0.011564031581136105,16477,320,16477,,
X21,HVE,ft,ft,tr_24::between_type_word,predictor_only_percent_ceiling,0.3715869019299046,-0.7048900784858293,1.3878186690629495,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,predictor_only,0.00216149786467278,-0.001202877445278864,0.005269212721628112,16477,320,16477,,
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,predictor_beyond_condition,9.656206301343793e-05,-0.0020049940003849364,0.0021417847167378014,16477,320,16477,,
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,condition_beyond_predictor,0.004695849202730269,-0.00027315113002809356,0.009808786358797394,16477,320,16477,,
X21,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,1.521995705412164,-0.6084767630209599,3.6497411156716653,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,ft,ft,tr_24::mean_dissimilarity_sentence,predictor_only,0.0005729510484604138,-0.0009968390812426803,0.002097821563885319,16477,320,16477,,
X21,HVE,ft,ft,tr_24::mean_dissimilarity_sentence,predictor_beyond_condition,0.00012831741113643517,-0.000492182658380368,0.0007603358573304189,16477,320,16477,,
X21,HVE,ft,ft,tr_24::mean_dissimilarity_sentence,condition_beyond_predictor,0.006316151367065635,0.00044091336715506164,0.01194193905912845,16477,320,16477,,
