dataset,accent,similarity,accuracy,ci_low,ci_high
AN19,SPA,0.1307607750822295,0.125636386177329,0.0966136700511089,0.1542354687819273
AN19,SPA,0.1362191120592681,0.1303131320174666,0.1007878879713868,0.1591424241623756
AN19,SPA,0.1416774490363068,0.1351370608347549,0.1052121874908338,0.1642970648023216
AN19,SPA,0.1471357860133454,0.1401107929138246,0.1097365800190073,0.169522695124954
AN19,SPA,0.1525941229903841,0.1452368425348857,0.1142381647303461,0.1748785811447767
AN19,SPA,0.1580524599674228,0.1505176046267137,0.1191448991720941,0.1803854093381156
AN19,SPA,0.1635107969444614,0.1559553409498585,0.1242328418221644,0.1860388437442633
AN19,SPA,0.1689691339215001,0.1615521658518235,0.1294436488699923,0.1920566359687117
AN19,SPA,0.1744274708985387,0.1673100316433454,0.1346468397734049,0.1981073547569476
AN19,SPA,0.1798858078755774,0.1732307136525649,0.1400277720468908,0.2043153773861125
AN19,SPA,0.185344144852616,0.1793157950217715,0.1455875719235698,0.210623433404353
AN19,SPA,0.1908024818296547,0.1855666513194314,0.1513292840474616,0.2175028880471279
AN19,SPA,0.1962608188066933,0.1919844350482993,0.1572081182723862,0.2243242171783611
AN19,SPA,0.201719155783732,0.1985700601384499,0.1633657854647394,0.2311267746913624
AN19,SPA,0.2071774927607707,0.2053241865219459,0.1697889337123853,0.2380479310575776
AN19,SPA,0.2126358297378093,0.2122472048934521,0.1766333452481648,0.245072094689054
AN19,SPA,0.218094166714848,0.2193392217682722,0.183316296246791,0.2520607506169563
AN19,SPA,0.2235525036918866,0.2266000449558957,0.1901748000361864,0.2592949377317021
AN19,SPA,0.2290108406689253,0.2340291695730229,0.1975256789231951,0.2668458627867061
AN19,SPA,0.2344691776459639,0.2416257647250566,0.2050887360498793,0.2747573896903329
AN19,SPA,0.2399275146230026,0.2493886609890267,0.2128645605821197,0.2824982667720998
AN19,SPA,0.2453858516000412,0.2573163388337117,0.2207715336335834,0.2902906265754127
AN19,SPA,0.2508441885770799,0.2654069181141717,0.2287665296194265,0.2977646177003119
AN19,SPA,0.2563025255541186,0.2736581487778762,0.2370579788817587,0.3065227774008114
AN19,SPA,0.2617608625311572,0.2820674029179575,0.2455797293795745,0.3148011719988827
AN19,SPA,0.2672191995081959,0.2906316683057388,0.2544099967358189,0.3231779685009557
AN19,SPA,0.2726775364852345,0.2993475435294719,0.2633313343972868,0.3318532358323264
AN19,SPA,0.2781358734622732,0.3082112348591091,0.2724138035743555,0.340741634989913
AN19,SPA,0.2835942104393119,0.3172185549478822,0.2812863247321089,0.3497312527874591
AN19,SPA,0.2890525474163505,0.3263649234704686,0.2902894985594361,0.3588285797324544
AN19,SPA,0.2945108843933891,0.3356453697845973,0.2997723093784759,0.3681253095422868
AN19,SPA,0.2999692213704278,0.3450545376881826,0.3094805111720844,0.3774608632017261
AN19,SPA,0.3054275583474665,0.3545866923275426,0.3193065923961917,0.3868882079457726
AN19,SPA,0.3108858953245051,0.3642357292941363,0.3293128705500353,0.3970795736344732
AN19,SPA,0.3163442323015438,0.3739951859277104,0.3389662955287183,0.4071121845117844
AN19,SPA,0.3218025692785824,0.3838582548230034,0.349056320989699,0.4169427782528365
AN19,SPA,0.3272609062556211,0.3938177995155035,0.3593752966695387,0.4264340791225134
AN19,SPA,0.3327192432326598,0.4038663722994436,0.3694294677598725,0.4364727084158772
AN19,SPA,0.3381775802096984,0.4139962341086246,0.3796325259936288,0.4459021185180627
AN19,SPA,0.343635917186737,0.4241993763680695,0.3899634571212785,0.4556449273543344
AN19,SPA,0.3490942541637757,0.4344675447023448,0.4004903739525872,0.4659845978867257
AN19,SPA,0.3545525911408144,0.4447922643649628,0.4114235974388444,0.4763814342053474
AN19,SPA,0.360010928117853,0.4551648672329987,0.4217676083947919,0.4870571495322286
