dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,held_out_log_likelihood_per_trial,variant,predictor_definition
AN19,tr_4,oof_fold,1.0,M_predictor,1895,1895,1303.32586011498,0.687770902435345,-0.6877709024353457,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,2.0,M_predictor,1896,1896,1295.00044409272,0.683017111863247,-0.683017111863249,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,0.0,M_predictor,1894,1894,1243.50253101967,0.656548326831926,-0.6565483268319271,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,1.0,M_predictor,1895,1895,1249.12714139864,0.659169995461024,-0.6591699954610238,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,2.0,M_predictor,1896,1896,1223.29054740779,0.645195436396514,-0.6451954363965137,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,0.0,M_predictor,1894,1894,1221.50629477292,0.64493468573016,-0.6449346857301584,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,1.0,M_predictor,1895,1895,1226.81841543204,0.647397580702924,-0.6473975807029234,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,2.0,M_predictor,1896,1896,1205.48623083921,0.635804974071313,-0.6358049740713133,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,mfcc39,oof_fold,0.0,M_predictor,5508,5508,2389.97743563587,0.433910209810434,-0.4339102098104339,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,mfcc39,oof_fold,1.0,M_predictor,5503,5503,2858.43769220333,0.519432617154885,-0.5194326171548845,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,mfcc39,oof_fold,2.0,M_predictor,5466,5466,2799.4042519654,0.512148600798647,-0.5121486007986462,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,strf24_legacy,oof_fold,0.0,M_predictor,5508,5508,2392.14048090598,0.434302919554462,-0.4343029195544626,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,strf24_legacy,oof_fold,1.0,M_predictor,5503,5503,2860.6843207863,0.519840872394386,-0.5198408723943848,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
