speaker_id,canonical_phone,mean_distance,n_word_types,n_phone_intervals,language,branch,analysis
AN19.KOR.km3,g,50.99986629792111,9,9,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,hh,21.184681700954954,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ih,43.30218055187804,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,iy,43.82447427187111,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,jh,44.66711567097117,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,k,41.76710000730784,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,l,22.7651501823559,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,m,30.355461161862586,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,n,50.610336917445366,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ng,27.746706497833237,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ow,29.32012954067795,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,oy,31.937901991187022,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,p,33.042843998481786,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,r,42.150490217690106,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,s,28.515619872753877,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,sh,15.785460110491416,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,t,38.85135064630001,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,th,44.95033956996126,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,uh,40.76916739799261,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,uw,27.990726510297325,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,v,32.920644859437616,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,w,38.21903568665716,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,y,24.78655672053593,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km6,aa,30.07492578867209,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km6,ae,20.945149908159785,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km6,ah,41.103239899310815,3,3,Korean,Koreanic,six_reference_complete
