recording_id,speaker_id,word,accent,source_l1_language,source_filename,source_wav_relpath,legacy_key_collision,config_sha256,human_verified,status,sha256,source_rate,source_channels,decoded_samples,duration_seconds,resampled_samples,chosen_dictionary_variant,model_frames,lexical_identity_unresolved,short_phone_count,low_posterior_phone_count,annotation_word
AN19-rec-36738ce389a4c77ce80f,AN19.ENG.em1,rough,ENG,English,em1ew70 rough.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew70 rough.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,b61eaa15d34e21dae60f32c50f87db76acb324167ee7e3c74fe107bc191c8d2c,22050,1,10112,0.45859410430839004,7338,0,43,False,1,3,rough
AN19-rec-68f2360b7feaa86385de,AN19.ENG.em1,fool,ENG,English,em1ew71 fool.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew71 fool.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,e260b9fb546d7615781bec1a56fcde336a47db7c67763862a7f79ae62fe0c8e9,22050,1,13504,0.6124263038548753,9799,0,59,False,1,0,fool
AN19-rec-ad19f2b572994c0cf5b4,AN19.ENG.em1,noise,ENG,English,em1ew72 noise.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew72 noise.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,3c2493e28fc38d4809a835fb9ca9aed598853eacb94e18f8710b30efe2790568,22050,1,12992,0.5892063492063492,9428,0,57,False,2,2,noise
AN19-rec-c408157ae60cf94540ae,AN19.ENG.em1,wash,ENG,English,em1ew73 wash.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew73 wash.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,53ad6b21a06e3ac5f19261e12fe3cfd010b9fadd2cbc092a707e42ffcdbd13e1,22050,1,14400,0.6530612244897959,10449,0,63,False,2,2,wash
AN19-rec-5f942593b930c2e79a46,AN19.ENG.em1,balm,ENG,English,em1ew74 balm.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew74 balm.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,1ea63bfed8f92d97987e7be54f76d829bdd7e83176d83a56a306cadbc7334503,22050,1,10112,0.45859410430839004,7338,0,43,False,2,2,balm
AN19-rec-159dfc076290840b8711,AN19.ENG.em1,fig,ENG,English,em1ew75 fig.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew75 fig.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,ff6119c3cc5e2a63ee60cc09520b1cfc453a2ce554c95cbec1e6ab5c95e126be,22050,1,11776,0.5340589569160997,8545,0,51,False,1,2,fig
AN19-rec-fce818292967e10c3391,AN19.ENG.em1,ban,ENG,English,em1hw01 ban.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw01 ban.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,ab453db2aba409d117331d761612b3f7d4a053cc3419489c59392ea7e3917d98,22050,1,11328,0.5137414965986394,8220,0,49,False,2,2,ban
AN19-rec-501f9f97699965b83a7d,AN19.ENG.em1,bead,ENG,English,em1hw02 bead.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw02 bead.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,b8a52c60c53bb7ae70fd2a52683f11747618c078de66e7f52280bd16f36684e4,22050,1,11264,0.5108390022675737,8174,0,49,False,0,2,bead
AN19-rec-fb462e298a29a1f264cb,AN19.ENG.em1,bean,ENG,English,em1hw03 bean.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw03 bean.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,42bac1aea9d330eb96dc3ca83eaafdd3bf2decfc2c50526d73dd5ea624d8538b,22050,1,13248,0.6008163265306122,9614,0,58,False,1,1,bean
AN19-rec-e82d7bbbe5b2d4b3d78c,AN19.ENG.em1,bug,ENG,English,em1hw04 bug.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw04 bug.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,c2b29da4f2288cc28363cfc5356cb2417cb32ade44d9f54730b5c3288e80f9d2,22050,1,8320,0.37732426303854877,6038,0,35,False,1,3,bug
