speaker_id,canonical_phone,comparison_word,mean_distance,n_phone_intervals,analysis
AN19.KOR.kf2,m,rhyme,32.49359838748683,1,six_reference_complete
AN19.KOR.kf2,m,theme,27.928251578108938,1,six_reference_complete
AN19.KOR.kf2,n,join,29.325839564422477,1,six_reference_complete
AN19.KOR.kf2,ng,long,76.31305589968187,1,six_reference_complete
AN19.KOR.kf2,ng,young,90.21247570296737,1,six_reference_complete
AN19.KOR.kf2,ow,mote,36.20028327540067,1,six_reference_complete
AN19.KOR.kf2,ow,soak,28.187489225854637,1,six_reference_complete
AN19.KOR.kf2,oy,noise,47.10485706820393,1,six_reference_complete
AN19.KOR.kf2,oy,soil,26.763594298495548,1,six_reference_complete
AN19.KOR.kf2,oy,voice,31.77873038294177,1,six_reference_complete
AN19.KOR.kf2,p,deep,23.840895190281902,1,six_reference_complete
AN19.KOR.kf2,p,page,10.586654693809285,1,six_reference_complete
AN19.KOR.kf2,p,path,37.644370073724076,1,six_reference_complete
AN19.KOR.kf2,p,pawn,39.472799518296284,1,six_reference_complete
AN19.KOR.kf2,p,pool,28.078591569087326,1,six_reference_complete
AN19.KOR.kf2,p,pup,45.310261034792056,1,six_reference_complete
AN19.KOR.kf2,p,ship,38.07466624002348,1,six_reference_complete
AN19.KOR.kf2,p,shop,46.10010391251236,1,six_reference_complete
AN19.KOR.kf2,r,cheer,22.721107895776004,1,six_reference_complete
AN19.KOR.kf2,r,rim,59.8054707628184,1,six_reference_complete
AN19.KOR.kf2,r,rough,46.55272873495566,1,six_reference_complete
AN19.KOR.kf2,s,gas,83.91766691661108,1,six_reference_complete
AN19.KOR.kf2,s,mace,49.11821028093033,1,six_reference_complete
AN19.KOR.kf2,s,peace,28.485754128394728,1,six_reference_complete
AN19.KOR.kf2,s,sane,13.921972160770808,1,six_reference_complete
AN19.KOR.kf2,s,soak,13.55294358058053,1,six_reference_complete
AN19.KOR.kf2,s,soil,15.76060140893326,1,six_reference_complete
AN19.KOR.kf2,sh,shall,11.726115614722955,1,six_reference_complete
AN19.KOR.kf2,sh,ship,8.223737018973658,1,six_reference_complete
AN19.KOR.kf2,sh,shop,13.548596657709766,1,six_reference_complete
AN19.KOR.kf2,t,goat,34.73683120867815,1,six_reference_complete
AN19.KOR.kf2,t,gut,36.87295770460556,1,six_reference_complete
AN19.KOR.kf2,t,hoot,44.95226768937045,1,six_reference_complete
AN19.KOR.kf2,t,route,36.35533551154875,1,six_reference_complete
AN19.KOR.kf2,t,thought,52.57330242528894,1,six_reference_complete
AN19.KOR.kf2,t,toot,18.868808941334155,1,six_reference_complete
AN19.KOR.kf2,t,white,43.09055888387635,1,six_reference_complete
AN19.KOR.kf2,th,both,35.10368558859344,1,six_reference_complete
AN19.KOR.kf2,th,death,47.50416795436132,1,six_reference_complete
AN19.KOR.kf2,th,faith,29.40102059928265,1,six_reference_complete
AN19.KOR.kf2,th,mouth,69.99657022065252,1,six_reference_complete
AN19.KOR.kf2,th,path,25.60845548638903,1,six_reference_complete
AN19.KOR.kf2,uh,full,36.57335922403717,1,six_reference_complete
AN19.KOR.kf2,uh,pull,33.58023916033965,1,six_reference_complete
AN19.KOR.kf2,uw,fool,36.733602692914246,1,six_reference_complete
AN19.KOR.kf2,uw,lose,35.6914928681997,1,six_reference_complete
AN19.KOR.kf2,v,love,60.97266119409165,1,six_reference_complete
AN19.KOR.kf2,v,move,23.0860984610117,1,six_reference_complete
AN19.KOR.kf2,v,serve,15.797774277826974,1,six_reference_complete
AN19.KOR.kf2,w,weed,55.657287331026986,1,six_reference_complete
AN19.KOR.kf2,w,wick,66.72978980753125,1,six_reference_complete
