feature_key,M_condition,M_joint,M_predictor,predictor_oof_total_log_loss,predictor_oof_total_trials,layer,dataset_id,variant,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain
cnn_4::overall_order_sensitive,0.570954682815897,0.571507026680135,0.569504963383819,17787.9180263302,31234,cnn_4,B23,base,-0.0005523438642379697,-0.0020020632963160256
cnn_5::overall_order_sensitive,0.570954682815897,0.577467877588807,0.569289694578222,17781.1943204562,31234,cnn_5,B23,base,-0.006513194772910014,-0.008178183010585038
cnn_6::overall_order_sensitive,0.570954682815897,0.573031885980285,0.569122502951105,17775.9722571748,31234,cnn_6,B23,base,-0.002077203164387975,-0.00390938302917998
tr_0::overall_order_sensitive,0.570954682815897,0.572824709569845,0.56884174209562,17767.2029726146,31234,tr_0,B23,base,-0.0018700267539479842,-0.0039829674742249965
tr_10::overall_order_sensitive,0.570954682815897,0.571342100504698,0.569882851701957,17799.7209900589,31234,tr_10,B23,base,-0.00038741768880101723,-0.0014592488027410644
tr_12::overall_order_sensitive,0.570954682815897,0.571296935640195,0.569684024583886,17793.5108238531,31234,tr_12,B23,base,-0.0003422528242980061,-0.0016129110563090077
tr_14::overall_order_sensitive,0.570954682815897,0.570358403264469,0.569542477603373,17789.0897454638,31234,tr_14,B23,base,0.0005962795514280472,-0.0008159256610960064
tr_16::overall_order_sensitive,0.570954682815897,0.569218134920888,0.569483418775838,17787.2451020445,31234,tr_16,B23,base,0.0017365478950089885,0.0002652838549499492
tr_18::overall_order_sensitive,0.570954682815897,0.568407048166577,0.569638634768212,17792.0931183503,31234,tr_18,B23,base,0.002547634649320063,0.0012315866016350263
tr_20::overall_order_sensitive,0.570954682815897,0.57143233039383,0.569277297875272,17780.8071218363,31234,tr_20,B23,base,-0.0004776475779330047,-0.0021550325185579755
tr_22::overall_order_sensitive,0.570954682815897,0.569682204950823,0.569256131526897,17780.1460121111,31234,tr_22,B23,base,0.0012724778650740065,-0.0004260734239259767
tr_24::overall_order_sensitive,0.570954682815897,0.581590741372821,0.569459843137734,17786.508740564,31234,tr_24,B23,base,-0.010636058556923955,-0.012130898235086951
tr_2::overall_order_sensitive,0.570954682815897,0.570077630386427,0.569730794696496,17794.9716415503,31234,tr_2,B23,base,0.0008770524294700044,-0.000346835689930991
tr_4::overall_order_sensitive,0.570954682815897,0.570298099418968,0.569095823563926,17775.1389531957,31234,tr_4,B23,base,0.000656583396928978,-0.0012022758550420676
tr_6::overall_order_sensitive,0.570954682815897,0.57296288693982,0.568654114048756,17761.3425981988,31234,tr_6,B23,base,-0.0020082041239229964,-0.004308772891064017
tr_8::overall_order_sensitive,0.570954682815897,0.57036639111842,0.569302924103688,17781.6075314546,31234,tr_8,B23,base,0.0005882916974769836,-0.0010634670147320335
cnn_2::overall_order_sensitive,0.570954682815897,0.572335479416289,0.569212974889964,17778.7980577131,31234,cnn_2,B23,ft,-0.0013807966003920313,-0.0031225045263250095
cnn_3::overall_order_sensitive,0.570954682815897,0.572426337887729,0.569871314806036,17799.3606466517,31234,cnn_3,B23,ft,-0.001471655071832001,-0.0025550230816929753
cnn_4::overall_order_sensitive,0.570954682815897,0.571507026680135,0.569504963383819,17787.9180263302,31234,cnn_4,B23,ft,-0.0005523438642379697,-0.0020020632963160256
cnn_5::overall_order_sensitive,0.570954682815897,0.577467877588807,0.569289694578222,17781.1943204562,31234,cnn_5,B23,ft,-0.006513194772910014,-0.008178183010585038
cnn_6::overall_order_sensitive,0.570954682815897,0.573031885980285,0.569122502951105,17775.9722571748,31234,cnn_6,B23,ft,-0.002077203164387975,-0.00390938302917998
tr_0::overall_order_sensitive,0.570954682815897,0.573348171222542,0.568954594694602,17770.7278106912,31234,tr_0,B23,ft,-0.0023934884066449946,-0.004393576527940035
tr_10::overall_order_sensitive,0.570954682815897,0.570681500261054,0.569434441552138,17785.7153474395,31234,tr_10,B23,ft,0.0002731825548429878,-0.00124705870891606
