canonical_phone,language,branch,mean_similarity,ci_low,ci_high,n_talkers,n_instances
ow,Somali,Afro-Asiatic,0.0026812302751868,,,1,1
ow,Spanish,Romance,0.0002871825938921619,1.4290365593858178e-05,0.0007056748536109754,12,23
ow,Turkish,Turkic,2.1758518198074623e-11,,,1,1
oy,Albanian,Albanian,6.80011286288599e-06,,,1,3
oy,Bengali,Indo-Aryan,0.0008323991479281794,,,1,3
oy,Dutch,Germanic,1.3158841517651186e-05,,,1,3
oy,French,Romance,0.0024565104931641626,,,1,3
oy,German,Germanic,0.006747540609035255,,,1,3
oy,Hindi,Indo-Aryan,3.593775310840477e-10,,,1,2
oy,Japanese,Japonic,0.007895420560236541,,,1,3
oy,Korean,Koreanic,0.0015502810246255342,0.0004656750409294444,0.002971747605975717,12,35
oy,Mandarin,Sino-Tibetan,5.106442617282807e-06,,,1,3
oy,Romanian,Romance,4.295728722824714e-06,,,1,3
oy,Russian,Slavic,0.0005663476612677333,,,1,3
oy,Somali,Afro-Asiatic,0.023654036171884687,,,1,3
oy,Spanish,Romance,0.0012839067432744349,5.2851120930077265e-05,0.0027725665113226407,12,34
oy,Turkish,Turkic,6.196483307789803e-07,,,1,3
p,Albanian,Albanian,4.109741266728491e-06,,,1,7
p,Bengali,Indo-Aryan,0.004613295505734577,,,1,8
p,Dutch,Germanic,0.0003619501744708265,,,1,8
p,French,Romance,0.00012940981481014148,,,1,8
p,German,Germanic,0.005071808100743676,,,1,8
p,Hindi,Indo-Aryan,1.921962718914165e-07,,,1,7
p,Japanese,Japonic,6.8459813888543174e-06,,,1,7
p,Korean,Koreanic,0.0031883960723989874,0.0015089658683014521,0.004969236335846969,12,85
p,Mandarin,Sino-Tibetan,0.004995653589942319,,,1,5
p,Romanian,Romance,4.4963448594116324e-05,,,1,8
p,Russian,Slavic,8.280013684504085e-08,,,1,8
p,Somali,Afro-Asiatic,0.025692742788048166,,,1,8
p,Spanish,Romance,0.002603402870258629,0.0008455201412558636,0.00526929710756189,12,87
p,Turkish,Turkic,0.0020844093646871444,,,1,7
r,Albanian,Albanian,3.963693721324549e-05,,,1,3
r,Bengali,Indo-Aryan,0.0018132561860525083,,,1,3
r,Dutch,Germanic,0.0005954766128137273,,,1,3
r,French,Romance,1.1357659916029482e-17,,,1,2
r,German,Germanic,2.964144330928741e-09,,,1,2
r,Hindi,Indo-Aryan,6.272777340669402e-05,,,1,2
r,Japanese,Japonic,0.0009977831031902174,,,1,3
r,Korean,Koreanic,0.0021183933222419754,0.0007591364813405201,0.004007478752870833,12,38
r,Mandarin,Sino-Tibetan,0.0103745277445982,,,1,2
r,Romanian,Romance,3.6502106718645336e-06,,,1,2
r,Russian,Slavic,0.008073273157409003,,,1,3
r,Somali,Afro-Asiatic,0.0013150952726303261,,,1,3
r,Spanish,Romance,0.003126818165474674,0.0015981882632557151,0.004940118404663799,12,42
r,Turkish,Turkic,0.0013436659138551016,,,1,3
s,Albanian,Albanian,0.0004169178530106981,,,1,7
s,Bengali,Indo-Aryan,0.008850271069903746,,,1,5
s,Dutch,Germanic,0.00942394978714428,,,1,7
s,French,Romance,0.00057909675161032,,,1,6
s,German,Germanic,0.0010738847689171075,,,1,6
s,Hindi,Indo-Aryan,0.0003621753689313275,,,1,6
s,Japanese,Japonic,0.00022339364019184784,,,1,7
s,Korean,Koreanic,0.0004573053722457501,0.00021151169912514032,0.0006979980686674641,12,79
s,Mandarin,Sino-Tibetan,0.00018522585865970043,,,1,7
s,Romanian,Romance,0.0004229884925357143,,,1,6
s,Russian,Slavic,0.0005502984714717757,,,1,7
s,Somali,Afro-Asiatic,1.0362426382817513e-05,,,1,7
s,Spanish,Romance,0.0015544767676029568,0.0007367831903184256,0.0026295201172697857,12,76
s,Turkish,Turkic,0.0036104545016050885,,,1,6
sh,Albanian,Albanian,0.00012306242715414746,,,1,4
sh,Bengali,Indo-Aryan,0.016347602630659624,,,1,4
sh,Dutch,Germanic,0.00012328297031137563,,,1,2
sh,French,Romance,0.0031519950430048543,,,1,4
sh,German,Germanic,0.043119667743179164,,,1,3
sh,Hindi,Indo-Aryan,7.180767531820618e-05,,,1,4
sh,Japanese,Japonic,0.000727954139081991,,,1,4
sh,Korean,Koreanic,0.008353928902845842,0.004668552480172974,0.01285082770557695,12,45
sh,Mandarin,Sino-Tibetan,0.0037335294265135395,,,1,4
sh,Romanian,Romance,0.0043167600186771555,,,1,4
sh,Russian,Slavic,0.024244667248892227,,,1,4
sh,Somali,Afro-Asiatic,0.0105916494545696,,,1,3
sh,Spanish,Romance,0.007038635400471457,0.0034884519172617818,0.011391262245508495,12,38
sh,Turkish,Turkic,0.012328118618303938,,,1,4
t,Albanian,Albanian,2.8044625171399457e-07,,,1,6
t,Bengali,Indo-Aryan,1.183354997685039e-10,,,1,7
t,Dutch,Germanic,0.00012908143585385037,,,1,7
t,French,Romance,0.0007532038977540565,,,1,6
t,German,Germanic,9.18637890232712e-06,,,1,7
t,Hindi,Indo-Aryan,5.6328357703280965e-08,,,1,7
t,Japanese,Japonic,3.114655460234221e-10,,,1,5
t,Korean,Koreanic,0.00041773916426868343,7.960757108708401e-05,0.0009393131696584263,12,71
t,Mandarin,Sino-Tibetan,6.202132857942404e-08,,,1,7
t,Romanian,Romance,0.005752464458441333,,,1,5
t,Russian,Slavic,0.0031644100171394707,,,1,7
t,Somali,Afro-Asiatic,3.996286629225989e-05,,,1,7
t,Spanish,Romance,0.00015018990539210028,2.0171662153059885e-05,0.00037522101721531236,12,72
t,Turkish,Turkic,3.167268010091899e-05,,,1,7
th,Albanian,Albanian,0.00378137733147959,,,1,7
th,Bengali,Indo-Aryan,1.2862186228275553e-07,,,1,5
th,Dutch,Germanic,9.384304290033753e-07,,,1,7
th,French,Romance,1.2776014234987809e-11,,,1,6
th,German,Germanic,0.015944798345777007,,,1,7
th,Hindi,Indo-Aryan,1.283277932397686e-07,,,1,6
th,Japanese,Japonic,2.9230764239206357e-07,,,1,7
th,Korean,Koreanic,0.0011515259318025464,0.00032338250101898627,0.0021300908487752296,12,71
th,Mandarin,Sino-Tibetan,1.8290227626440395e-08,,,1,7
th,Romanian,Romance,4.997186498836422e-09,,,1,6
th,Russian,Slavic,0.00034380786710591925,,,1,7
th,Somali,Afro-Asiatic,0.00016537184206476328,,,1,5
th,Spanish,Romance,8.221033002569815e-05,6.8248523068826135e-06,0.00019979565272926369,12,66
th,Turkish,Turkic,6.936645600010971e-05,,,1,6
uh,Albanian,Albanian,1.0130997779954075e-06,,,1,2
uh,Bengali,Indo-Aryan,2.8058057261146193e-06,,,1,2
uh,Dutch,Germanic,6.102521362353494e-08,,,1,2
uh,French,Romance,0.00042545212281752985,,,1,2
uh,German,Germanic,2.5314631310129035e-07,,,1,2
uh,Hindi,Indo-Aryan,1.463850869437566e-09,,,1,2
uh,Japanese,Japonic,1.2539204839192126e-09,,,1,2
uh,Korean,Koreanic,1.453624546735051e-05,7.544228165614709e-07,4.116497152618254e-05,12,21
uh,Mandarin,Sino-Tibetan,1.0067464095185409e-07,,,1,1
uh,Romanian,Romance,7.39197022491995e-09,,,1,2
uh,Russian,Slavic,1.689484940262686e-08,,,1,2
uh,Somali,Afro-Asiatic,0.00021755743984520437,,,1,2
uh,Spanish,Romance,1.995689162125438e-05,1.2773790272818702e-06,5.1717490294206005e-05,12,21
uh,Turkish,Turkic,9.717651928367943e-07,,,1,1
