canonical_phone,speaker_id,language,branch,mean_similarity,n_instances
eh,AN19.KOR.km2,Korean,Koreanic,0.00029594138578847314,3
eh,AN19.KOR.km3,Korean,Koreanic,0.0028578811124788397,3
eh,AN19.KOR.km6,Korean,Koreanic,2.9802120335947054e-09,2
eh,AN19.KOR.km7,Korean,Koreanic,0.0008407075257111656,4
eh,AN19.KOR.km8,Korean,Koreanic,0.002927559896964985,4
eh,AN19.MIX.if1,Albanian,Albanian,0.026558992429551512,4
eh,AN19.MIX.if2,Dutch,Germanic,0.00037151810116242467,4
eh,AN19.MIX.if3,French,Romance,3.1840760415420356e-05,4
eh,AN19.MIX.if4,German,Germanic,0.0001612475714866881,4
eh,AN19.MIX.if5,Japanese,Japonic,5.248913924311536e-07,4
eh,AN19.MIX.if6,Somali,Afro-Asiatic,3.592745916189403e-07,3
eh,AN19.MIX.im1,Romanian,Romance,9.376304977728011e-08,3
eh,AN19.MIX.im2,Bengali,Indo-Aryan,0.0009421040143425384,4
eh,AN19.MIX.im3,Russian,Slavic,3.8094943880623756e-08,4
eh,AN19.MIX.im4,Mandarin,Sino-Tibetan,5.148857795218816e-41,1
eh,AN19.MIX.im5,Turkish,Turkic,0.0029444064468176767,4
eh,AN19.MIX.im6,Hindi,Indo-Aryan,0.0036189434316064415,3
eh,AN19.SPA.sf1,Spanish,Romance,1.1670252538476186e-09,4
eh,AN19.SPA.sf2,Spanish,Romance,1.6211854053382794e-12,4
eh,AN19.SPA.sf3,Spanish,Romance,0.00016476845344978112,4
eh,AN19.SPA.sf4,Spanish,Romance,2.1121639532586873e-13,3
eh,AN19.SPA.sf5,Spanish,Romance,3.1812922327248594e-07,4
eh,AN19.SPA.sf6,Spanish,Romance,1.8237454412894079e-07,4
eh,AN19.SPA.sm2,Spanish,Romance,5.142762525557191e-06,4
eh,AN19.SPA.sm3,Spanish,Romance,2.4780552197029174e-06,4
eh,AN19.SPA.sm4,Spanish,Romance,4.115685871539839e-06,3
eh,AN19.SPA.sm5,Spanish,Romance,0.004881550535462687,4
eh,AN19.SPA.sm6,Spanish,Romance,5.824791192715068e-08,4
eh,AN19.SPA.sm7,Spanish,Romance,1.1702535372852857e-05,3
er,AN19.KOR.kf1,Korean,Koreanic,2.5061641379865896e-07,1
er,AN19.KOR.kf3,Korean,Koreanic,3.4886795887478004e-05,1
er,AN19.KOR.kf4,Korean,Koreanic,8.932668802670259e-05,1
er,AN19.KOR.kf5,Korean,Koreanic,1.1317252621270852e-05,1
er,AN19.KOR.kf6,Korean,Koreanic,3.1893846513272016e-11,1
er,AN19.KOR.km1,Korean,Koreanic,1.564310908776259e-09,1
er,AN19.KOR.km2,Korean,Koreanic,0.000186432143371,1
er,AN19.KOR.km3,Korean,Koreanic,7.124467893547496e-06,1
er,AN19.KOR.km6,Korean,Koreanic,1.0952623435971023e-09,1
er,AN19.KOR.km7,Korean,Koreanic,0.0084341159560588,1
er,AN19.KOR.km8,Korean,Koreanic,2.8625680887748507e-06,1
er,AN19.MIX.if1,Albanian,Albanian,1.5748207757492874e-19,1
er,AN19.MIX.if3,French,Romance,1.9877664221001527e-05,1
er,AN19.MIX.if4,German,Germanic,1.436368943858211e-07,1
er,AN19.MIX.if5,Japanese,Japonic,3.2596859394572466e-15,1
er,AN19.MIX.im1,Romanian,Romance,6.933000819379605e-06,1
er,AN19.MIX.im2,Bengali,Indo-Aryan,0.0001442589957205,1
er,AN19.MIX.im3,Russian,Slavic,1.2609125176572313e-07,1
er,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.0001941873241737,1
er,AN19.MIX.im5,Turkish,Turkic,4.204352004129417e-06,1
er,AN19.MIX.im6,Hindi,Indo-Aryan,4.413411962730928e-11,1
er,AN19.SPA.sf1,Spanish,Romance,5.298612492238926e-15,1
er,AN19.SPA.sf2,Spanish,Romance,2.358835945191089e-08,1
er,AN19.SPA.sf3,Spanish,Romance,6.709481527377325e-23,1
er,AN19.SPA.sf4,Spanish,Romance,1.2629106853374683e-10,1
er,AN19.SPA.sf5,Spanish,Romance,1.1764699937842636e-05,1
er,AN19.SPA.sf6,Spanish,Romance,6.857653288615661e-07,1
er,AN19.SPA.sm2,Spanish,Romance,0.0004912696716823,1
er,AN19.SPA.sm3,Spanish,Romance,1.8807748862078866e-13,1
er,AN19.SPA.sm4,Spanish,Romance,4.298039641418201e-06,1
er,AN19.SPA.sm5,Spanish,Romance,3.578306414051025e-08,1
er,AN19.SPA.sm6,Spanish,Romance,1.6233552392382942e-07,1
er,AN19.SPA.sm7,Spanish,Romance,0.0003914044084992,1
ey,AN19.KOR.kf1,Korean,Koreanic,1.2098139052146787e-05,6
ey,AN19.KOR.kf2,Korean,Koreanic,8.590283934160652e-05,6
ey,AN19.KOR.kf3,Korean,Koreanic,0.0035847496764187838,5
ey,AN19.KOR.kf4,Korean,Koreanic,1.0138993113203909e-05,4
ey,AN19.KOR.kf5,Korean,Koreanic,0.00040411068395257877,5
ey,AN19.KOR.kf6,Korean,Koreanic,5.9333480584603054e-05,6
ey,AN19.KOR.km1,Korean,Koreanic,1.4487920988475053e-07,6
ey,AN19.KOR.km2,Korean,Koreanic,8.893158687996244e-05,6
ey,AN19.KOR.km3,Korean,Koreanic,0.0008294721465912793,6
ey,AN19.KOR.km6,Korean,Koreanic,0.000954550668513895,6
