dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,source_file,model_variant,layer,measure,fit_ok,singular,convergence,formula,n_rows,sample_stratum
AN19,cnn_4::between_type_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0359198522822808,0.0555617012964872,0.646485824661956,0.517964774449733,-0.0729810822588342,0.144820786823396,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::between_type_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.133069253612715,0.0631068281015426,2.10863479619984,0.0349761169725941,0.009379870533691,0.256758636691738,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::mean_dissimilarity_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0622871950040556,0.0622188017822446,-1.00109923720567,0.316778833795363,-0.184236046497255,0.0596616564891438,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::mean_dissimilarity_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0431429534778397,0.0583964773518719,-0.738793766923283,0.46003223728641,-0.157600049087509,0.0713141421318294,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::mean_dissimilarity_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.10597927873997,0.0667917577233577,-1.58671192902156,0.112577903341901,-0.236891123877751,0.0249325663978113,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::order_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0187031863315132,0.0610377887636658,0.306419788631772,0.759285043379126,-0.100930879645272,0.138337252308298,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::order_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0228632023731195,0.0566488122053507,0.403595441511482,0.68651023834711,-0.0881684695493678,0.133894874295607,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::order_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.119808661140451,0.0633996179293486,1.88973790463475,0.0587930219696852,-0.0044545900010724,0.244071912281974,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall,revised_training_two_folds,0.0,M_predictor,variability_z,0.0124305586577933,0.063812864479295,0.194797064184864,0.845551820706042,-0.112642655721625,0.137503773037211,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall,revised_training_two_folds,1.0,M_predictor,variability_z,-0.032302824738528,0.0583691765741245,-0.5534226561772,0.579974028553079,-0.146706410823812,0.082100761346756,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall,revised_training_two_folds,2.0,M_predictor,variability_z,0.0023084403765568,0.066513443360817,0.0347063730264899,0.972313879050203,-0.128057908610645,0.132674789363758,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall_order_sensitive,revised_training_two_folds,0.0,M_predictor,variability_z,0.0694565238413435,0.0616051562700618,1.12744659776307,0.259553706934753,-0.0512895824479776,0.190202630130665,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall_order_sensitive,revised_training_two_folds,1.0,M_predictor,variability_z,0.0503329245144596,0.0583359355222278,0.862811645409907,0.388241035292058,-0.0640055091091069,0.164671358138026,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::overall_order_sensitive,revised_training_two_folds,2.0,M_predictor,variability_z,0.169401039543371,0.0638165728525954,2.65449916802421,0.007942623545262,0.0443205567522837,0.294481522334458,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::within_token_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0110715281465219,0.062436868057392,0.177323566844271,0.859254240449561,-0.111304733245966,0.13344778953901,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::within_token_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0507517217244909,0.0580742432537456,-0.873911029761333,0.38216670756138,-0.164577238501832,0.0630737950528504,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
