tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds,flagged,z_stable,log_likelihood_stable,z_difference,log_likelihood_difference
1,9,0.625,2.616566332631805e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999518500683921,0.0004236648380847,0.996381016807584,1.0,0.0,2679.0,,,,1.1.35.5,90.03100000007544,True,4.51225673566926,-3892.44557062026,,
1,10,0.625,3.7606030930863934e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999308104834927,0.0006087120701297,0.99480281292831,1.0,0.0,2679.0,,,,1.1.35.5,90.04599999997299,True,4.51237021279486,-3892.44498708829,,
1,11,0.625,5.404845062539061e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.51257914120333,-3892.4441497112,,
1,12,0.625,7.76799609715734e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.51286839960721,-3892.4429477944,,
1,13,0.625,0.000111643835609,ok,11.3501296919305,-3892.44122433182,grid,121.152988062102,10.6741501066932,False,0.883462432360289,2.60156360613441,10969.0,213.0,10969.0,0.997948399587583,0.0018034668849154,0.984649526576978,1.0,0.0,2679.0,66.58,,ok,1.1.35.5,67.56200000003446,False,4.51327722293236,-3892.4412243225,6.836852468998139,-9.320046956418082e-09
1,14,0.625,0.0001604576762604,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.51389641188113,-3892.438755577,,
1,15,0.625,0.0002306143078159,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.51472315233288,-3892.43522381352,,
1,16,0.625,0.0003314454017339,ok,5.80276463132322,-3892.43018260749,grid,41.1247015357325,7.08708764676445,False,0.88332399728495,2.60134415187745,10969.0,213.0,10969.0,0.99393103227361,0.0053220417616534,0.955113119315152,1.0,0.0,2679.0,37.69,,ok,1.1.35.5,38.71799999999348,False,4.51591917321931,-3892.43018229876,1.28684545810391,-3.087302502535749e-07
1,17,0.625,0.0004763627000032,ok,5.16952698647342,-3892.42300605722,grid,28.7589110088511,5.56316101726554,False,0.883233559049778,2.60120239961913,10969.0,213.0,10969.0,0.991298032914264,0.0076188930141972,0.936125789596646,1.0,0.0,2679.0,21.22,,ok,1.1.35.5,22.23499999998603,False,4.51763646243676,-3892.42300644112,0.6518905240366593,3.8389998735510744e-07
1,18,0.625,0.0006846419373062,ok,4.78146177392061,-3892.41283652442,grid,20.15499895416,4.21523791408118,False,0.883105042470587,2.60100379111259,10969.0,213.0,10969.0,0.987535473972138,0.0108884534773587,0.909495838448087,1.0,0.0,2679.0,21.04,,ok,1.1.35.5,22.04700000002049,False,4.52006629806891,-3892.41283659846,0.26139547585169964,7.404014468193054e-08
1,19,0.625,0.000983986744376,ok,4.67653158330331,-3892.39851064057,grid,14.168509371691,3.02970462602606,False,0.882922947416844,2.60072823901376,10969.0,213.0,10969.0,0.982172156424713,0.0155234329870215,0.872543775673205,1.0,0.0,2679.0,12.93,,ok,1.1.35.5,13.93700000003446,False,4.52347228536658,-3892.39851050077,0.15305929793673023,-1.3979979485156946e-07
1,20,0.625,0.001,ok,4.59857166220683,-3892.39775344784,grid,13.9493028384779,3.03339903412177,False,0.882912911387688,2.60071283924939,10969.0,213.0,10969.0,0.981886711977661,0.0157692739696511,0.870609906915661,1.0,0.0,2679.0,15.85,,ok,1.1.35.5,16.82799999997951,False,4.52363035349601,-3892.39775351636,0.0749413087108195,6.851996658951975e-08
1,21,0.625,0.001414213562373,ok,4.60990897148071,-3892.37850627474,grid,10.0041665991305,2.17014406597211,False,0.882664537102992,2.6003426494654,10969.0,213.0,10969.0,0.974554239432459,0.0220554573761528,0.822049038646146,1.0,0.0,2679.0,15.72,,ok,1.1.35.5,16.640999999945052,False,4.52821565280885,-3892.37850639736,0.08169331867186003,1.2261989468242973e-07
1,22,0.625,0.0020325477059837,ok,4.52629863567642,-3892.35092541987,grid,7.10731119903515,1.57022586689599,False,0.882301420649622,2.59982450954301,10969.0,213.0,10969.0,0.963788807934472,0.0311844420478683,0.754551012146281,1.0,0.0,2679.0,10.5,,ok,1.1.35.5,11.438000000081956,False,4.53473008433403,-3892.3509253442,-0.008431448657610474,-7.566995918750763e-08
