dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,fitted_condition_id
AN19,mfcc39,full,,M_null,(Intercept),1.18412315571261,0.332743075783361,3.55867106452896,0.0003727359908986,0.531946727177225,1.836299584248,AN19.Mixed.test_Korean
AN19,mfcc39,full,,M_predictor,(Intercept),1.1593167978383,0.298367940355586,3.88552736750693,0.0001021079888288,0.574515634741355,1.74411796093525,AN19.Mixed.test_Korean
AN19,mfcc39,full,,M_predictor,similarity_z,0.499660329994582,0.189505348796446,2.63665555177169,0.0083727802353618,0.128229846353547,0.871090813635617,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_null,(Intercept),1.13829124945491,0.341255537377138,3.33559788715437,0.0008511618222689,0.469430396195722,1.8071521027141,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,(Intercept),1.10934379047943,0.295725852608528,3.75125739158132,0.0001759499561634,0.529721119366714,1.68896646159215,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,similarity_z,0.500844033793494,0.190357796180543,2.63106656960072,0.0085117361609222,0.12774275327963,0.873945314307357,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_null,(Intercept),1.19083549437127,0.323370893695992,3.68256858482385,0.0002308957207822,0.557028542727129,1.82464244601542,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,(Intercept),1.17190948294951,0.277812313071421,4.21834968361616,2.46096950116374e-05,0.627397349329519,1.71642161656949,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,similarity_z,0.615915271605315,0.205210656088784,3.00138054886799,0.002687584605753,0.213702385671298,1.01812815753933,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,2.0,M_null,(Intercept),1.30428951739508,0.352919412770124,3.69571485784104,0.0002192689565167,0.612567468365639,1.99601156642452,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,2.0,M_predictor,(Intercept),1.28759103851108,0.318410273176275,4.04381123029361,5.25892662892329e-05,0.663506903085579,1.91167517393658,AN19.Mixed.test_Korean
AN19,strf24_legacy,cv_train,2.0,M_predictor,similarity_z,0.56230643778637,0.214817843882032,2.61759650699763,0.0088551444406778,0.141263463777587,0.983349411795152,AN19.Mixed.test_Korean
AN19,strf24_legacy,full,,M_null,(Intercept),1.18412315571261,0.332743075783361,3.55867106452896,0.0003727359908986,0.531946727177225,1.836299584248,AN19.Mixed.test_Korean
AN19,strf24_legacy,full,,M_predictor,(Intercept),1.15651649353121,0.285171121600062,4.05551756798559,5.00234123031601e-05,0.597581095195085,1.71545189186733,AN19.Mixed.test_Korean
