dataset_id,fold,SubjectID,Keyword,TestTalker,ceiling_z,numCorrect,numIncorrect
AN19,1,AN19.11,hash,AN19.KOR.kf6,-0.4385687421615508,1,0
AN19,1,AN19.11,hum,AN19.KOR.km7,0.48461868351283455,1,0
AN19,1,AN19.11,hung,AN19.KOR.kf2,0.7158719488095222,1,0
AN19,1,AN19.11,hurl,AN19.KOR.kf4,0.10267271131345485,1,0
AN19,1,AN19.11,join,AN19.KOR.kf4,0.28075700504181456,1,0
AN19,1,AN19.11,judge,AN19.KOR.kf2,0.35794739417535065,1,0
AN19,1,AN19.11,lice,AN19.KOR.kf2,0.22363797971591481,1,0
AN19,1,AN19.11,lose,AN19.KOR.km2,0.22363797971591481,1,0
AN19,1,AN19.11,mace,AN19.KOR.kf6,-0.09172367838397565,1,0
AN19,1,AN19.11,main,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.11,moan,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.11,mum,AN19.KOR.km2,0.07070519661737275,1,0
AN19,1,AN19.11,noise,AN19.KOR.km6,0.48461868351283455,1,0
AN19,1,AN19.11,page,AN19.KOR.kf4,0.48461868351283455,1,0
AN19,1,AN19.11,real,AN19.KOR.km7,0.10267271131345485,1,0
AN19,1,AN19.11,rim,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.11,roof,AN19.KOR.kf6,0.35794739417535065,1,0
AN19,1,AN19.11,route,AN19.KOR.km6,-0.014098409420161436,1,0
AN19,1,AN19.11,shop,AN19.KOR.kf6,0.10267271131345485,1,0
AN19,1,AN19.11,soil,AN19.KOR.km2,0.7158719488095222,1,0
AN19,1,AN19.11,suck,AN19.KOR.km7,-0.14371332769957473,1,0
AN19,1,AN19.11,vice,AN19.KOR.km7,-0.04031067399310007,1,0
AN19,1,AN19.11,vote,AN19.KOR.kf4,0.22363797971591481,1,0
AN19,1,AN19.11,wash,AN19.KOR.km6,0.7158719488095222,1,0
AN19,1,AN19.11,weed,AN19.KOR.km6,0.10267271131345485,1,0
AN19,1,AN19.20,lose,AN19.KOR.km2,0.22363797971591481,0,1
AN19,1,AN19.20,main,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.20,mote,AN19.KOR.kf2,-0.33516608845507617,1,0
AN19,1,AN19.20,page,AN19.KOR.kf4,0.48461868351283455,1,0
AN19,1,AN19.20,roof,AN19.KOR.kf6,0.35794739417535065,0,1
AN19,1,AN19.20,teat,AN19.KOR.kf4,-0.2955853568549958,0,1
AN19,1,AN19.20,thick,AN19.KOR.kf4,-0.8736836859292585,0,1
AN19,1,AN19.20,wail,AN19.KOR.km6,0.13777361973525967,1,0
AN19,1,AN19.20,wick,AN19.KOR.kf2,-0.642430420632571,0,1
AN19,1,AN19.20,curve,AN19.KOR.km6,0.22363797971591481,0,1
AN19,1,AN19.20,gut,AN19.KOR.kf4,-0.5157591312950868,0,1
AN19,1,AN19.20,hash,AN19.KOR.kf6,-0.4385687421615508,0,1
AN19,1,AN19.20,hoot,AN19.KOR.kf4,-0.8736836859292585,0,1
AN19,1,AN19.20,league,AN19.KOR.kf2,-0.8736836859292585,0,1
AN19,1,AN19.20,mace,AN19.KOR.kf6,-0.09172367838397565,0,1
AN19,1,AN19.20,mid,AN19.KOR.kf6,-0.642430420632571,0,1
AN19,1,AN19.20,path,AN19.KOR.km6,-0.38144971683565093,0,1
AN19,1,AN19.20,route,AN19.KOR.km6,-0.014098409420161436,0,1
AN19,1,AN19.20,suck,AN19.KOR.km7,-0.14371332769957473,0,1
AN19,1,AN19.20,theme,AN19.KOR.km2,0.07070519661737275,0,1
AN19,1,AN19.20,beak,AN19.KOR.km7,0.17735435133533994,1,0
AN19,1,AN19.20,bun,AN19.KOR.kf2,-0.06608805873576057,1,0
AN19,1,AN19.20,chain,AN19.KOR.kf6,0.7158719488095222,1,0
AN19,1,AN19.20,dirt,AN19.KOR.km7,0.7158719488095222,1,0
AN19,1,AN19.20,dog,AN19.KOR.kf2,0.7158719488095222,1,0
AN19,1,AN19.20,fig,AN19.KOR.km7,0.22363797971591481,1,0
AN19,1,AN19.20,hag,AN19.KOR.km7,-0.2285169337371089,1,0
AN19,1,AN19.20,hid,AN19.KOR.kf6,-0.33516608845507617,1,0
AN19,1,AN19.20,hum,AN19.KOR.km7,0.48461868351283455,1,0
AN19,1,AN19.20,hung,AN19.KOR.kf2,0.7158719488095222,1,0
AN19,1,AN19.20,hurl,AN19.KOR.kf4,0.10267271131345485,1,0
AN19,1,AN19.20,join,AN19.KOR.kf4,0.28075700504181456,1,0
AN19,1,AN19.20,judge,AN19.KOR.kf2,0.35794739417535065,1,0
AN19,1,AN19.20,leg,AN19.KOR.km2,0.17735435133533994,1,0
AN19,1,AN19.20,lice,AN19.KOR.kf2,0.22363797971591481,1,0
AN19,1,AN19.20,moan,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.20,mum,AN19.KOR.km2,0.07070519661737275,1,0
AN19,1,AN19.20,noise,AN19.KOR.km6,0.48461868351283455,1,0
AN19,1,AN19.20,pull,AN19.KOR.kf6,0.10267271131345485,1,0
AN19,1,AN19.20,real,AN19.KOR.km7,0.10267271131345485,1,0
AN19,1,AN19.20,rim,AN19.KOR.km2,0.48461868351283455,1,0
AN19,1,AN19.20,shop,AN19.KOR.kf6,0.10267271131345485,1,0
AN19,1,AN19.20,soil,AN19.KOR.km2,0.7158719488095222,1,0
AN19,1,AN19.20,vice,AN19.KOR.km7,-0.04031067399310007,1,0
AN19,1,AN19.20,vote,AN19.KOR.kf4,0.22363797971591481,1,0
AN19,1,AN19.20,wash,AN19.KOR.km6,0.7158719488095222,1,0
AN19,1,AN19.20,wave,AN19.KOR.km6,0.07070519661737275,1,0
AN19,1,AN19.20,weed,AN19.KOR.km6,0.10267271131345485,1,0
AN19,1,AN19.25,hash,AN19.KOR.kf5,0.35088676969468063,1,0
AN19,1,AN19.25,lose,AN19.KOR.km1,0.09380095739003347,1,0
AN19,1,AN19.25,main,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.25,mote,AN19.KOR.kf1,-0.05224376945150042,1,0
AN19,1,AN19.25,page,AN19.KOR.kf3,0.1293348104218226,1,0
AN19,1,AN19.25,soil,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.25,wail,AN19.KOR.km3,0.09380095739003347,1,0
AN19,1,AN19.25,dog,AN19.KOR.kf1,-0.2516126945097697,0,1
AN19,1,AN19.25,fig,AN19.KOR.km8,-0.8736836859292585,0,1
AN19,1,AN19.25,gut,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.25,hid,AN19.KOR.kf5,-0.8736836859292585,0,1
AN19,1,AN19.25,hoot,AN19.KOR.kf3,-0.4312075767166793,0,1
