iso6393,inventory_id,english_inventory_id,n_segments,intersection,union,jaccard
spa,2303,2175,45,10,74,0.13513513513513514
spa,2303,2176,45,14,70,0.2
spa,2303,2177,45,12,77,0.15584415584415584
spa,2303,2178,45,10,75,0.13333333333333333
spa,2303,2179,45,11,79,0.13924050632911392
spa,2303,2180,45,11,73,0.1506849315068493
spa,2303,2252,45,10,79,0.12658227848101267
spa,2303,2515,45,13,72,0.18055555555555555
spa,2308,160,25,10,55,0.18181818181818182
spa,2308,2175,25,9,55,0.16363636363636364
spa,2308,2176,25,11,53,0.20754716981132076
spa,2308,2177,25,10,59,0.1694915254237288
spa,2308,2178,25,9,56,0.16071428571428573
spa,2308,2179,25,10,60,0.16666666666666666
spa,2308,2180,25,10,54,0.18518518518518517
spa,2308,2252,25,9,60,0.15
spa,2308,2515,25,11,54,0.2037037037037037
tur,186,160,40,23,57,0.40350877192982454
tur,186,2175,40,20,59,0.3389830508474576
tur,186,2176,40,21,58,0.3620689655172414
tur,186,2177,40,19,65,0.2923076923076923
tur,186,2178,40,21,59,0.3559322033898305
tur,186,2179,40,19,66,0.2878787878787879
tur,186,2180,40,23,56,0.4107142857142857
tur,186,2252,40,20,64,0.3125
tur,186,2515,40,18,62,0.2903225806451613
tur,597,160,33,16,57,0.2807017543859649
tur,597,2175,33,16,56,0.2857142857142857
tur,597,2176,33,16,56,0.2857142857142857
tur,597,2177,33,16,61,0.26229508196721313
tur,597,2178,33,17,56,0.30357142857142855
tur,597,2179,33,15,63,0.23809523809523808
tur,597,2180,33,18,54,0.3333333333333333
tur,597,2252,33,15,62,0.24193548387096775
tur,597,2515,33,20,53,0.37735849056603776
tur,2217,160,36,14,62,0.22580645161290322
tur,2217,2175,36,12,63,0.19047619047619047
tur,2217,2176,36,13,62,0.20967741935483872
tur,2217,2177,36,15,65,0.23076923076923078
tur,2217,2178,36,14,62,0.22580645161290322
tur,2217,2179,36,14,67,0.208955223880597
tur,2217,2180,36,17,58,0.29310344827586204
tur,2217,2252,36,14,66,0.21212121212121213
tur,2217,2515,36,16,60,0.26666666666666666
tur,2416,160,38,16,62,0.25806451612903225
tur,2416,2175,38,13,64,0.203125
tur,2416,2176,38,14,63,0.2222222222222222
tur,2416,2177,38,13,69,0.18840579710144928
tur,2416,2178,38,12,66,0.18181818181818182
tur,2416,2179,38,12,71,0.16901408450704225
tur,2416,2180,38,12,65,0.18461538461538463
tur,2416,2252,38,14,68,0.20588235294117646
tur,2416,2515,38,10,68,0.14705882352941177
