dataset_id,store_id,model_variant,feature_key,layer,pool_id,measure,linguistic_unit,tau,coordinate_scaling,value,value_status,status_reason,variant,exposure_talker_set
B23,B23_hubert_ft_tsne,ft,tr_16,tr_16,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,905.2502164617596,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_18,tr_18,B23V:2036c2eede8f5bf2,overall,all,2.0,none,911.0743955763568,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_18,tr_18,B23V:32aba1a79d958e3a,overall,all,2.0,none,930.4144310888807,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_18,tr_18,B23V:5cbf296e4c2d4396,overall,all,2.0,none,932.8388667080528,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_18,tr_18,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,921.486367602918,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_2,tr_2,B23V:2036c2eede8f5bf2,overall,all,2.0,none,904.1630043312184,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_2,tr_2,B23V:32aba1a79d958e3a,overall,all,2.0,none,914.7119965198286,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_2,tr_2,B23V:5cbf296e4c2d4396,overall,all,2.0,none,783.2080223402477,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_2,tr_2,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,959.6155199563829,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_20,tr_20,B23V:2036c2eede8f5bf2,overall,all,2.0,none,890.8696648256916,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_20,tr_20,B23V:32aba1a79d958e3a,overall,all,2.0,none,920.4989426718456,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_20,tr_20,B23V:5cbf296e4c2d4396,overall,all,2.0,none,933.6628429430868,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_20,tr_20,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,924.2912628272518,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_22,tr_22,B23V:2036c2eede8f5bf2,overall,all,2.0,none,861.0471367538516,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_22,tr_22,B23V:32aba1a79d958e3a,overall,all,2.0,none,899.270547634218,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_22,tr_22,B23V:5cbf296e4c2d4396,overall,all,2.0,none,905.5224608238874,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_22,tr_22,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,888.8273803113158,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_24,tr_24,B23V:2036c2eede8f5bf2,overall,all,2.0,none,872.5994705067652,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_24,tr_24,B23V:32aba1a79d958e3a,overall,all,2.0,none,904.5077965102444,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_24,tr_24,B23V:5cbf296e4c2d4396,overall,all,2.0,none,886.5825466586768,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_24,tr_24,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,896.4134005439778,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_4,tr_4,B23V:2036c2eede8f5bf2,overall,all,2.0,none,1005.8393962058074,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_4,tr_4,B23V:32aba1a79d958e3a,overall,all,2.0,none,920.9754295186948,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_4,tr_4,B23V:5cbf296e4c2d4396,overall,all,2.0,none,723.0029051252294,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_4,tr_4,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,963.332702215509,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_6,tr_6,B23V:2036c2eede8f5bf2,overall,all,2.0,none,918.486290398443,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_6,tr_6,B23V:32aba1a79d958e3a,overall,all,2.0,none,916.2182853088916,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_6,tr_6,B23V:5cbf296e4c2d4396,overall,all,2.0,none,810.9090620469646,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_6,tr_6,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,890.024085186221,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_8,tr_8,B23V:2036c2eede8f5bf2,overall,all,2.0,none,870.5957305038803,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_8,tr_8,B23V:32aba1a79d958e3a,overall,all,2.0,none,891.9714579724553,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_8,tr_8,B23V:5cbf296e4c2d4396,overall,all,2.0,none,862.804619003647,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_8,tr_8,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,877.2460449822056,available,,ft,B23.BRP.BRP
