dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note
AN19,HuBERT t-SNE exp(k=1),base,tr_18,0.010267394580469,0.0535738550448978,0.191649351570171,0.848016882019735,-0.0947373613075307,0.115272150468469,0.884495273263857,0.0446021881543857,1.0,0.832737217901733,0.684897510781729,0.683862523121816,0.691504218166739,0.0010349876599130559,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_2,-0.123325809884028,0.0467854232206546,-2.63598790807951,0.008389272100911,-0.215025239396511,-0.0316263803715448,0.075503448908199,7.80460405968188,1.0,0.0052113283465016,0.684897510781729,0.685873589887953,0.693411805199009,-0.0009760791062239926,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_20,-0.0085930937442607,0.0591513177652221,-0.145273073684811,0.884495273263857,-0.124529676564096,0.107343489075575,0.884495273263857,0.0269451800368188,1.0,0.869613163118057,0.684897510781729,0.684611206992825,0.692520531698598,0.00028630378890404096,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_22,0.0633254960212786,0.0670503998788747,0.944446209652364,0.344941677162832,-0.0680932877413159,0.194744279783873,0.848195171500545,0.869035597100265,1.0,0.351222434525404,0.684897510781729,0.681771693444263,0.689601778499268,0.003125817337465975,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_24,0.0916289773761729,0.0908380811847752,1.00870665893733,0.313115337300084,-0.0864136617459865,0.269671616498332,0.848195171500545,1.00969238709877,1.0,0.314976544814948,0.684897510781729,0.680061986603983,0.688508972616144,0.00483552417774602,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_4,-0.145406179209815,0.0530253868385639,-2.7421993101626,0.0061029297820061,-0.2493359374134,-0.0414764210062297,0.075503448908199,8.15655758672074,1.0,0.0042905734152093,0.684897510781729,0.6867431414258,0.694392083929534,-0.0018456306440709502,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_6,0.0123308787904317,0.0518848210412731,0.237658693678885,0.812145823456233,-0.0893633704504635,0.114025128031327,0.884495273263857,0.0632804145088812,1.0,0.80138428213637,0.684897510781729,0.684330541131116,0.691655203386966,0.0005669696506129807,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_8,0.0505637632698419,0.0856186948983763,0.590569189706264,0.554809113790045,-0.117248878730976,0.218376405270659,0.854945538661716,0.332938708834263,1.0,0.563933772196896,0.684897510781729,0.681161915695409,0.689035260766244,0.0037355950863200427,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,cnn_2,0.0753364515803127,0.127571615045669,0.590542430252553,0.554827048149322,-0.174703913909199,0.325376817069824,0.7682220666682921,0.61597568513389,1.0,0.43254668968066,0.684897510781729,0.682906343668124,0.690839093969617,0.00199116711360503,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,cnn_3,0.105739694522929,0.0601490284703643,1.75796180274179,0.0787540088116228,-0.0121524012789853,0.223631790324843,0.28498025774019314,3.2641291817863,1.0,0.0708106093862633,0.684897510781729,0.681713910764667,0.689585212555227,0.0031836000170619716,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
