analysis_row_id,condition_id,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,test_accent,listener_accuracy,model_similarity,similarity_k
AN19:AN19.100:018,AN19.Spanish.test_Spanish,AN19,5.4122860531279935,AN19.SPA.sm7.HW29,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.6956114795517666,0.0670629730176613
AN19:AN19.100:019,AN19.Spanish.test_Spanish,AN19,12.867344651901234,AN19.SPA.sm3.EW62,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.4219272440816676,0.0670629730176613
AN19:AN19.100:020,AN19.Spanish.test_Spanish,AN19,10.579114122045482,AN19.SPA.sm7.EW69,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.49190638995204394,0.0670629730176613
AN19:AN19.100:021,AN19.Spanish.test_Spanish,AN19,10.730331970269454,AN19.SPA.sf3.EW52,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.4869431180730029,0.0670629730176613
AN19:AN19.100:022,AN19.Spanish.test_Spanish,AN19,5.138217737996741,AN19.SPA.sm5.HW69,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.7085149228174332,0.0670629730176613
AN19:AN19.100:023,AN19.Spanish.test_Spanish,AN19,8.031505773239969,AN19.SPA.sm5.HW74,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.5835549521207256,0.0670629730176613
AN19:AN19.100:024,AN19.Spanish.test_Spanish,AN19,14.46562253240026,AN19.SPA.sm5.HW75,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.37904223065606524,0.0670629730176613
AN19:AN19.100:025,AN19.Spanish.test_Spanish,AN19,5.806152761381874,AN19.SPA.sf5.EW65,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6774782256728843,0.0670629730176613
AN19:AN19.100:026,AN19.Spanish.test_Spanish,AN19,17.78569808611467,AN19.SPA.sm5.EW66,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.30338222771818474,0.0670629730176613
AN19:AN19.100:027,AN19.Spanish.test_Spanish,AN19,12.33889509888513,AN19.SPA.sm7.EW68,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.43714820955571254,0.0670629730176613
AN19:AN19.100:028,AN19.Spanish.test_Spanish,AN19,18.28775849835046,AN19.SPA.sm7.EW75,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.2933375002948161,0.0670629730176613
AN19:AN19.100:029,AN19.Spanish.test_Spanish,AN19,7.648454360553857,AN19.SPA.sf5.HW60,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5987398463928079,0.0670629730176613
AN19:AN19.100:030,AN19.Spanish.test_Spanish,AN19,7.819838101648817,AN19.SPA.sf3.HW62,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5918976239240871,0.0670629730176613
AN19:AN19.100:031,AN19.Spanish.test_Spanish,AN19,8.343280230447638,AN19.SPA.sm7.HW70,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5714803514670989,0.0670629730176613
AN19:AN19.100:032,AN19.Spanish.test_Spanish,AN19,8.267837270778845,AN19.SPA.sf1.EW56,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.574379042504263,0.0670629730176613
AN19:AN19.100:033,AN19.Spanish.test_Spanish,AN19,12.35707857458673,AN19.SPA.sf3.HW57,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.4366154593373594,0.0670629730176613
AN19:AN19.100:034,AN19.Spanish.test_Spanish,AN19,5.345856459091544,AN19.SPA.sf3.EW57,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6987173181588556,0.0670629730176613
AN19:AN19.100:035,AN19.Spanish.test_Spanish,AN19,11.717650215542593,AN19.SPA.sm3.EW60,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.45574562718542677,0.0670629730176613
