dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,cup,X21.CMN.CMN_M_043,HT1_S008,0.30137469437525777,12,1
X21,1,drinking,X21.CMN.CMN_M_032,HT1_S008,0.7222939175401425,12,1
X21,1,own,X21.CMN.CMN_M_032,HT1_S008,0.7222939175401425,12,1
X21,1,cup,X21.CMN.CMN_M_032,HT1_S008,0.7222939175401425,12,1
X21,1,drinking,X21.CMN.CMN_M_035,HT1_S008,0.7222939175401425,14,1
X21,1,own,X21.CMN.CMN_M_035,HT1_S008,0.7222939175401425,15,0
X21,1,cup,X21.CMN.CMN_M_035,HT1_S008,0.26277725654019574,15,0
X21,1,somebody,X21.CMN.CMN_M_032,HT1_S006,-0.7010027373187343,7,6
X21,1,stole,X21.CMN.CMN_M_032,HT1_S006,-1.5194785253192218,1,12
X21,1,money,X21.CMN.CMN_M_032,HT1_S006,-0.8422935764698902,5,8
X21,1,somebody,X21.CMN.CMN_M_037,HT1_S006,0.30137469437525777,12,1
X21,1,stole,X21.CMN.CMN_M_037,HT1_S006,0.0708119793501402,12,1
X21,1,money,X21.CMN.CMN_M_037,HT1_S006,0.30137469437525777,13,0
X21,1,somebody,X21.CMN.CMN_M_043,HT1_S006,0.7222939175401425,13,0
X21,1,stole,X21.CMN.CMN_M_043,HT1_S006,0.0708119793501402,13,0
X21,1,money,X21.CMN.CMN_M_043,HT1_S006,-0.39383020014963,8,5
X21,1,somebody,X21.CMN.CMN_M_035,HT1_S006,0.04456193438615665,14,1
X21,1,stole,X21.CMN.CMN_M_035,HT1_S006,-0.6991343747837974,11,4
X21,1,money,X21.CMN.CMN_M_035,HT1_S006,-1.0872177189666612,6,9
X21,1,paint,X21.CMN.CMN_M_037,HT1_S011,-0.5061179508305017,8,5
X21,1,dripped,X21.CMN.CMN_M_037,HT1_S011,-0.5061179508305017,10,3
X21,1,ground,X21.CMN.CMN_M_037,HT1_S011,-0.45201636861355976,11,2
X21,1,paint,X21.CMN.CMN_M_032,HT1_S011,-0.06968730652242369,8,5
X21,1,dripped,X21.CMN.CMN_M_032,HT1_S011,0.0708119793501402,7,6
X21,1,ground,X21.CMN.CMN_M_032,HT1_S011,0.30137469437525777,12,1
X21,1,paint,X21.CMN.CMN_M_043,HT1_S011,-0.7945829159208225,7,6
X21,1,dripped,X21.CMN.CMN_M_043,HT1_S011,-0.6063729694991911,9,4
X21,1,ground,X21.CMN.CMN_M_043,HT1_S011,-0.45201636861355976,9,4
X21,1,paint,X21.CMN.CMN_M_035,HT1_S011,0.04456193438615665,13,2
X21,1,dripped,X21.CMN.CMN_M_035,HT1_S011,-0.09708006839663343,13,2
X21,1,ground,X21.CMN.CMN_M_035,HT1_S011,-0.426999604154152,12,3
X21,1,boy,X21.CMN.CMN_M_032,HT1_S001,0.7222939175401425,12,1
X21,1,fell,X21.CMN.CMN_M_032,HT1_S001,0.7222939175401425,12,1
X21,1,window,X21.CMN.CMN_M_032,HT1_S001,0.30137469437525777,13,0
X21,1,boy,X21.CMN.CMN_M_043,HT1_S001,0.7222939175401425,13,0
X21,1,fell,X21.CMN.CMN_M_043,HT1_S001,0.30137469437525777,13,0
X21,1,window,X21.CMN.CMN_M_043,HT1_S001,-0.17365338776788264,12,1
X21,1,boy,X21.CMN.CMN_M_037,HT1_S001,0.30137469437525777,13,0
X21,1,fell,X21.CMN.CMN_M_037,HT1_S001,0.0708119793501402,12,1
X21,1,window,X21.CMN.CMN_M_037,HT1_S001,0.0708119793501402,12,1
X21,1,boy,X21.CMN.CMN_M_035,HT1_S001,0.7222939175401425,15,0
X21,1,fell,X21.CMN.CMN_M_035,HT1_S001,-0.48703221875055114,10,5
X21,1,window,X21.CMN.CMN_M_035,HT1_S001,0.5008824444505136,11,4
X21,1,fire,X21.CMN.CMN_M_043,HT1_S007,-0.2578972529440551,13,0
X21,1,very,X21.CMN.CMN_M_043,HT1_S007,0.5255867342806781,13,0
X21,1,hot,X21.CMN.CMN_M_043,HT1_S007,0.7222939175401425,13,0
X21,1,fire,X21.CMN.CMN_M_035,HT1_S007,0.04456193438615665,15,0
